$p_T$								
5								
$\eta/\pi^{0}$ in d+Au								
$\eta/\pi^{0}$ in d+Au									
$\eta/\pi^{0}$ in d+Au
$\eta/\pi^{0}$ in d+Au
$\eta/\pi^{0}$ in d+Au		 								
$0-88\%$ centrality (MB)								
$0-20\%$ centrality								
$19-40\%$ centrality								
$40-60\%$ centrality
$60-88\%$ centrality																
yes							
none								
none								
2								
stat + type A						
symmetric						
type B								
symmetric	
1.75-2.75 0.42 0.028 0.025
2.25-3.25 0.472 0.033 0.028
2.75-3.75 0.383 0.039 0.023
3.25-4.25 0.472 0.018 0.028
3.75-4.75 0.478 0.017 0.029
4.25-5.25 0.483 0.02 0.029
4.75-5.75 0.465 0.025 0.028
5.25-6.25 0.51 0.03 0.031
6-7 0.552 0.034 0.033
7-8 0.478 0.064 0.029
8-9 0.499 0.087 0.03
9-10 0.677 0.111 0.041
10.5-11.5 0.609 0.119 0.037
***   
1.75-2.75 0.386 0.047 0.023
2.25-3.25 0.491 0.054 0.029
2.75-3.75 0.364 0.063 0.022
3.25-4.25 0.494 0.028 0.03
3.75-4.75 0.512 0.026 0.031
4.25-5.25 0.52 0.03 0.031
4.75-5.75 0.508 0.037 0.03
5.25-6.25 0.547 0.045 0.033
6-7 0.563 0.053 0.034
7-8 0.579 0.104 0.035
8-9 0.363 0.091 0.022
9-10 0.644 0.154 0.039
10.5-11.5 0.684 0.188 0.041
***   
1.75-2.75 0.416 0.051 0.025
2.25-3.25 0.517 0.06 0.031
2.75-3.75 0.425 0.072 0.025
3.25-4.25 0.467 0.031 0.028
3.75-4.75 0.47 0.029 0.028
4.25-5.25 0.447 0.033 0.027
4.75-5.75 0.524 0.048 0.031
5.25-6.25 0.539 0.053 0.032
6-7 0.543 0.06 0.033
7-8 0.545 0.114 0.033
8-9 0.546 0.115 0.033
9-10 0.495 0.204 0.03
10.5-11.5 1.046 0.269 0.063
***   
1.75-2.75 0.489 0.058 0.029
2.25-3.25 0.372 0.069 0.022
2.75-3.75 0.457 0.086 0.027
3.25-4.25 0.439 0.035 0.026
3.75-4.75 0.456 0.033 0.027
4.25-5.25 0.49 0.044 0.029
4.75-5.75 0.466 0.06 0.028
5.25-6.25 0.547 0.082 0.033
6-7 0.56 0.07 0.034
7-8 0.528 0.157 0.032
8-9 0.598 0.197 0.036
9-10 0.495 0.232 0.03
10.5-11.5 0.243 0.21 0.015
***   
1.75-2.75 0.474 0.064 0.028
2.25-3.25 0.558 0.083 0.033
2.75-3.75 0.5 0.101 0.03
3.25-4.25 0.482 0.042 0.029
3.75-4.75 0.49 0.042 0.029
4.25-5.25 0.514 0.053 0.031
4.75-5.75 0.374 0.064 0.022
5.25-6.25 0.569 0.083 0.034
6-7 0.734 0.121 0.044
7-8 0.501 0.119 0.03
8-9 0.362 0.215 0.022
9-10 0.469 0.293 0.028
10.5-11.5 -- -- --
***   
