# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/231
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/231
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/231
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/231
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.570796e+00	-1.396263e+00	7.264065e+05	7.415603e+04	7.415603e+04
-1.396263e+00	-1.221730e+00	5.374232e+05	6.379702e+04	6.379702e+04
-1.221730e+00	-1.047198e+00	6.710036e+05	7.114434e+04	7.114434e+04
-1.047198e+00	-8.726646e-01	8.154176e+05	7.848398e+04	7.848398e+04
-8.726646e-01	-6.981317e-01	6.953635e+05	7.251732e+04	7.251732e+04
-6.981317e-01	-5.235988e-01	5.826586e+05	6.641803e+04	6.641803e+04
-5.235988e-01	-3.490659e-01	7.477519e+05	7.516727e+04	7.516727e+04
-3.490659e-01	-1.745329e-01	6.808752e+05	7.179069e+04	7.179069e+04
-1.745329e-01	0.000000e+00	6.552873e+05	7.027533e+04	7.027533e+04
0.000000e+00	1.745329e-01	5.976965e+05	6.726186e+04	6.726186e+04
1.745329e-01	3.490659e-01	6.740817e+05	7.146894e+04	7.146894e+04
3.490659e-01	5.235988e-01	6.339670e+05	6.918739e+04	6.918739e+04
5.235988e-01	6.981317e-01	7.959027e+05	7.769207e+04	7.769207e+04
6.981317e-01	8.726646e-01	7.301420e+05	7.454206e+04	7.454206e+04
8.726646e-01	1.047198e+00	6.222763e+05	6.873906e+04	6.873906e+04
1.047198e+00	1.221730e+00	6.328742e+05	6.907047e+04	6.907047e+04
1.221730e+00	1.396263e+00	7.276991e+05	7.429276e+04	7.429276e+04
1.396263e+00	1.570796e+00	7.553821e+05	7.555570e+04	7.555570e+04
1.570796e+00	1.745329e+00	5.444571e+05	6.418431e+04	6.418431e+04
1.745329e+00	1.919862e+00	7.001089e+05	7.261665e+04	7.261665e+04
1.919862e+00	2.094395e+00	6.449394e+05	6.996989e+04	6.996989e+04
2.094395e+00	2.268928e+00	6.738176e+05	7.144491e+04	7.144491e+04
2.268928e+00	2.443461e+00	6.579363e+05	7.055357e+04	7.055357e+04
2.443461e+00	2.617994e+00	8.078455e+05	7.811748e+04	7.811748e+04
2.617994e+00	2.792527e+00	7.475801e+05	7.515439e+04	7.515439e+04
2.792527e+00	2.967060e+00	8.318427e+05	7.933385e+04	7.933385e+04
2.967060e+00	3.141593e+00	6.379275e+05	6.962340e+04	6.962340e+04
3.141593e+00	3.316126e+00	7.196948e+05	7.385861e+04	7.385861e+04
3.316126e+00	3.490659e+00	7.950244e+05	7.760927e+04	7.760927e+04
3.490659e+00	3.665191e+00	7.166921e+05	7.354771e+04	7.354771e+04
3.665191e+00	3.839724e+00	5.981786e+05	6.731988e+04	6.731988e+04
3.839724e+00	4.014257e+00	7.101448e+05	7.326192e+04	7.326192e+04
4.014257e+00	4.188790e+00	9.665301e+05	8.545108e+04	8.545108e+04
4.188790e+00	4.363323e+00	7.105224e+05	7.330376e+04	7.330376e+04
4.363323e+00	4.537856e+00	7.327772e+05	7.442125e+04	7.442125e+04
4.537856e+00	4.712389e+00	6.745097e+05	7.111050e+04	7.111050e+04
# END HISTO1D

