# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/2711
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/2711
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/2711
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/2711
ScaledBy=2.98116190671537525e-06
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.570796e+00	-1.396263e+00	1.026063e+00	8.231817e-02	8.231817e-02
-1.396263e+00	-1.221730e+00	1.119012e+00	8.953063e-02	8.953063e-02
-1.221730e+00	-1.047198e+00	9.655771e-01	7.762670e-02	7.762670e-02
-1.047198e+00	-8.726646e-01	1.545743e+00	1.220842e-01	1.220842e-01
-8.726646e-01	-6.981317e-01	8.837314e-01	7.124717e-02	7.124717e-02
-6.981317e-01	-5.235988e-01	1.002448e+00	8.047907e-02	8.047907e-02
-5.235988e-01	-3.490659e-01	1.722446e+00	1.353803e-01	1.353803e-01
-3.490659e-01	-1.745329e-01	8.636968e-01	6.968160e-02	6.968160e-02
-1.745329e-01	0.000000e+00	9.206516e-01	7.411876e-02	7.411876e-02
0.000000e+00	1.745329e-01	2.319773e-01	1.913594e-02	1.913594e-02
1.745329e-01	3.490659e-01	9.693594e-01	7.793078e-02	7.793078e-02
3.490659e-01	5.235988e-01	1.499615e+00	1.185882e-01	1.185882e-01
5.235988e-01	6.981317e-01	8.407469e-01	6.787858e-02	6.787858e-02
6.981317e-01	8.726646e-01	1.614334e+00	1.272668e-01	1.272668e-01
8.726646e-01	1.047198e+00	1.375803e+00	1.092107e-01	1.092107e-01
1.047198e+00	1.221730e+00	6.147767e-01	5.000059e-02	5.000059e-02
1.221730e+00	1.396263e+00	1.483346e+00	1.173750e-01	1.173750e-01
1.396263e+00	1.570796e+00	1.423737e+00	1.128716e-01	1.128716e-01
1.570796e+00	1.745329e+00	1.156151e+00	9.237771e-02	9.237771e-02
1.745329e+00	1.919862e+00	1.131635e+00	9.047952e-02	9.047952e-02
1.919862e+00	2.094395e+00	8.645551e-01	6.975085e-02	6.975085e-02
2.094395e+00	2.268928e+00	1.163857e+00	9.299345e-02	9.299345e-02
2.268928e+00	2.443461e+00	1.378936e+00	1.094594e-01	1.094594e-01
2.443461e+00	2.617994e+00	9.425931e-01	7.583192e-02	7.583192e-02
2.617994e+00	2.792527e+00	1.705082e+00	1.340958e-01	1.340958e-01
2.792527e+00	2.967060e+00	9.452522e-01	7.604586e-02	7.604586e-02
2.967060e+00	3.141593e+00	1.720570e+00	1.352328e-01	1.352328e-01
3.141593e+00	3.316126e+00	8.354781e-01	6.745321e-02	6.745321e-02
3.316126e+00	3.490659e+00	1.187039e+00	9.478233e-02	9.478233e-02
3.490659e+00	3.665191e+00	6.166124e-01	5.014989e-02	5.014989e-02
3.665191e+00	3.839724e+00	8.095094e-01	6.540363e-02	6.540363e-02
3.839724e+00	4.014257e+00	1.420209e+00	1.125919e-01	1.125919e-01
4.014257e+00	4.188790e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.188790e+00	4.363323e+00	1.462430e+00	1.157927e-01	1.157927e-01
4.363323e+00	4.537856e+00	1.159259e+00	9.262606e-02	9.262606e-02
4.537856e+00	4.712389e+00	1.204092e+00	9.608011e-02	9.608011e-02
# END HISTO1D

