# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig12CorrFunc_AuAu_24_1_1ptAssoc_1
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig12CorrFunc_AuAu_24_1_1ptAssoc_1
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig12CorrFunc_AuAu_24_1_1ptAssoc_1
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig12CorrFunc_AuAu_24_1_1ptAssoc_1
ScaledBy=9.19031547598297521e-06
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.570796e+00	-1.396263e+00	1.529988e+00	2.620030e-01	2.620030e-01
-1.396263e+00	-1.221730e+00	1.834222e+00	3.108174e-01	3.108174e-01
-1.221730e+00	-1.047198e+00	2.322338e+00	3.879251e-01	3.879251e-01
-1.047198e+00	-8.726646e-01	2.503535e+00	4.163377e-01	4.163377e-01
-8.726646e-01	-6.981317e-01	1.785804e+00	3.033858e-01	3.033858e-01
-6.981317e-01	-5.235988e-01	1.905815e+00	3.229491e-01	3.229491e-01
-5.235988e-01	-3.490659e-01	2.419060e+00	4.031766e-01	4.031766e-01
-3.490659e-01	-1.745329e-01	3.474279e+00	5.632410e-01	5.632410e-01
-1.745329e-01	0.000000e+00	3.033540e+00	4.972671e-01	4.972671e-01
0.000000e+00	1.745329e-01	3.607885e+00	5.838812e-01	5.838812e-01
1.745329e-01	3.490659e-01	4.005515e+00	6.428517e-01	6.428517e-01
3.490659e-01	5.235988e-01	2.612497e+00	4.335190e-01	4.335190e-01
5.235988e-01	6.981317e-01	4.036307e+00	6.477937e-01	6.477937e-01
6.981317e-01	8.726646e-01	2.729267e+00	4.509898e-01	4.509898e-01
8.726646e-01	1.047198e+00	2.929224e+00	4.811061e-01	4.811061e-01
1.047198e+00	1.221730e+00	3.439278e+00	5.585562e-01	5.585562e-01
1.221730e+00	1.396263e+00	2.517702e+00	4.186936e-01	4.186936e-01
1.396263e+00	1.570796e+00	3.537320e+00	5.734612e-01	5.734612e-01
1.570796e+00	1.745329e+00	2.071007e+00	3.483638e-01	3.483638e-01
1.745329e+00	1.919862e+00	3.240250e+00	5.281474e-01	5.281474e-01
1.919862e+00	2.094395e+00	3.141666e+00	5.140026e-01	5.140026e-01
2.094395e+00	2.268928e+00	2.575921e+00	4.274495e-01	4.274495e-01
2.268928e+00	2.443461e+00	2.567216e+00	4.260049e-01	4.260049e-01
2.443461e+00	2.617994e+00	9.058848e-01	1.588561e-01	1.588561e-01
2.617994e+00	2.792527e+00	2.951551e+00	4.847732e-01	4.847732e-01
2.792527e+00	2.967060e+00	6.356145e-01	1.125820e-01	1.125820e-01
2.967060e+00	3.141593e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.141593e+00	3.316126e+00	2.165557e+00	3.634068e-01	3.634068e-01
3.316126e+00	3.490659e+00	2.914543e+00	4.796469e-01	4.796469e-01
3.490659e+00	3.665191e+00	4.210718e+00	6.736523e-01	6.736523e-01
3.665191e+00	3.839724e+00	2.392651e+00	3.987752e-01	3.987752e-01
3.839724e+00	4.014257e+00	3.165403e+00	5.178862e-01	5.178862e-01
4.014257e+00	4.188790e+00	2.690747e+00	4.455551e-01	4.455551e-01
4.188790e+00	4.363323e+00	3.899858e+00	6.269072e-01	6.269072e-01
4.363323e+00	4.537856e+00	3.440180e+00	5.587027e-01	5.587027e-01
4.537856e+00	4.712389e+00	2.808002e+00	4.630479e-01	4.630479e-01
# END HISTO1D

