# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig12CorrFunc_pp_25_1_2ptAssoc_2
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig12CorrFunc_pp_25_1_2ptAssoc_2
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig12CorrFunc_pp_25_1_2ptAssoc_2
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig12CorrFunc_pp_25_1_2ptAssoc_2
ScaledBy=1.16314185868567107e-05
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.570796e+00	-1.396263e+00	1.611722e+00	7.448803e-01	7.448803e-01
-1.396263e+00	-1.221730e+00	1.499475e+00	7.420544e-01	7.420544e-01
-1.221730e+00	-1.047198e+00	1.653361e+00	7.496964e-01	7.496964e-01
-1.047198e+00	-8.726646e-01	6.695498e-01	6.941038e-01	6.941038e-01
-8.726646e-01	-6.981317e-01	6.597169e-01	6.925831e-01	6.925831e-01
-6.981317e-01	-5.235988e-01	8.753490e-01	7.035514e-01	7.035514e-01
-5.235988e-01	-3.490659e-01	1.354599e+00	7.301145e-01	7.301145e-01
-3.490659e-01	-1.745329e-01	1.184621e+00	7.255765e-01	7.255765e-01
-1.745329e-01	0.000000e+00	1.460932e+00	7.373073e-01	7.373073e-01
0.000000e+00	1.745329e-01	4.690804e-01	6.794546e-01	6.794546e-01
1.745329e-01	3.490659e-01	1.234662e+00	7.258608e-01	7.258608e-01
3.490659e-01	5.235988e-01	1.704789e+00	7.506737e-01	7.506737e-01
5.235988e-01	6.981317e-01	1.022081e+00	7.158945e-01	7.158945e-01
6.981317e-01	8.726646e-01	1.924003e+00	7.608915e-01	7.608915e-01
8.726646e-01	1.047198e+00	2.539297e+00	8.005408e-01	8.005408e-01
1.047198e+00	1.221730e+00	1.406206e+00	7.363008e-01	7.363008e-01
1.221730e+00	1.396263e+00	9.231979e-01	7.094172e-01	7.094172e-01
1.396263e+00	1.570796e+00	1.388029e+00	7.337770e-01	7.337770e-01
1.570796e+00	1.745329e+00	1.867577e+00	7.646189e-01	7.646189e-01
1.745329e+00	1.919862e+00	6.157386e-01	6.871804e-01	6.871804e-01
1.919862e+00	2.094395e+00	8.355681e-01	7.041956e-01	7.041956e-01
2.094395e+00	2.268928e+00	1.001246e+00	7.133368e-01	7.133368e-01
2.268928e+00	2.443461e+00	1.098404e+00	7.146297e-01	7.146297e-01
2.443461e+00	2.617994e+00	1.085131e+00	7.184271e-01	7.184271e-01
2.617994e+00	2.792527e+00	1.744829e+00	7.553880e-01	7.553880e-01
2.792527e+00	2.967060e+00	4.455500e-01	6.765178e-01	6.765178e-01
2.967060e+00	3.141593e+00	1.198182e+00	7.215103e-01	7.215103e-01
3.141593e+00	3.316126e+00	1.546043e+00	7.422852e-01	7.422852e-01
3.316126e+00	3.490659e+00	8.494881e-01	7.001164e-01	7.001164e-01
3.490659e+00	3.665191e+00	1.093901e+00	7.196673e-01	7.196673e-01
3.665191e+00	3.839724e+00	1.579073e+00	7.411542e-01	7.411542e-01
3.839724e+00	4.014257e+00	1.267171e+00	7.300729e-01	7.300729e-01
4.014257e+00	4.188790e+00	0.000000e+00	-nan	-nan
4.188790e+00	4.363323e+00	1.757106e+00	7.569463e-01	7.569463e-01
4.363323e+00	4.537856e+00	1.323372e+00	7.312335e-01	7.312335e-01
4.537856e+00	4.712389e+00	1.054287e+00	7.146839e-01	7.146839e-01
# END HISTO1D

