# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig18CorrFunc_35_1_2ptAssoc_3
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig18CorrFunc_35_1_2ptAssoc_3
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig18CorrFunc_35_1_2ptAssoc_3
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig18CorrFunc_35_1_2ptAssoc_3
ScaledBy=2.67580315421241815e-05
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.570796e+00	-1.391277e+00	0.000000e+00	-nan	-nan
-1.391277e+00	-1.211757e+00	7.453604e-01	5.785581e-01	5.785581e-01
-1.211757e+00	-1.032238e+00	2.052716e+00	7.609074e-01	7.609074e-01
-1.032238e+00	-8.527180e-01	1.109103e+00	6.331111e-01	6.331111e-01
-8.527180e-01	-6.731984e-01	3.844655e-01	5.191707e-01	5.191707e-01
-6.731984e-01	-4.936788e-01	1.862687e+00	7.367793e-01	7.367793e-01
-4.936788e-01	-3.141593e-01	2.774753e+00	8.421645e-01	8.421645e-01
-3.141593e-01	-1.346397e-01	9.329912e-01	6.081702e-01	6.081702e-01
-1.346397e-01	4.487990e-02	2.036408e+00	7.569208e-01	7.569208e-01
4.487990e-02	2.243995e-01	5.743585e-01	5.528090e-01	5.528090e-01
2.243995e-01	4.039191e-01	5.587451e-01	5.475741e-01	5.475741e-01
4.039191e-01	5.834386e-01	3.791966e-01	5.173071e-01	5.173071e-01
5.834386e-01	7.629582e-01	1.493308e+00	6.888883e-01	6.888883e-01
7.629582e-01	9.424778e-01	5.517954e-01	5.452322e-01	5.452322e-01
9.424778e-01	1.121997e+00	1.108532e+00	6.329796e-01	6.329796e-01
1.121997e+00	1.301517e+00	9.429947e-01	6.112060e-01	6.112060e-01
1.301517e+00	1.481037e+00	5.669173e-01	5.502998e-01	5.502998e-01
1.481037e+00	1.660556e+00	3.849113e-01	5.193464e-01	5.193464e-01
1.660556e+00	1.840076e+00	5.600434e-01	5.479947e-01	5.479947e-01
1.840076e+00	2.019595e+00	3.776181e-01	5.167696e-01	5.167696e-01
2.019595e+00	2.199115e+00	7.520906e-01	5.806537e-01	5.806537e-01
2.199115e+00	2.378634e+00	7.360825e-01	5.755560e-01	5.755560e-01
2.378634e+00	2.558154e+00	1.108063e+00	6.327819e-01	6.327819e-01
2.558154e+00	2.737674e+00	3.775748e-01	5.167262e-01	5.167262e-01
2.737674e+00	2.917193e+00	3.800013e-01	5.176111e-01	5.176111e-01
2.917193e+00	3.096713e+00	1.693848e+00	7.173609e-01	7.173609e-01
3.096713e+00	3.276232e+00	1.286325e+00	6.574029e-01	6.574029e-01
3.276232e+00	3.455752e+00	5.524560e-01	5.455022e-01	5.455022e-01
3.455752e+00	3.635271e+00	3.771236e-01	5.165699e-01	5.165699e-01
3.635271e+00	3.814791e+00	7.527067e-01	5.808250e-01	5.808250e-01
3.814791e+00	3.994311e+00	1.838133e+00	7.305416e-01	7.305416e-01
3.994311e+00	4.173830e+00	5.612910e-01	5.485235e-01	5.485235e-01
4.173830e+00	4.353350e+00	3.717147e-01	5.146790e-01	5.146790e-01
4.353350e+00	4.532869e+00	1.483409e+00	6.862587e-01	6.862587e-01
4.532869e+00	4.712389e+00	5.606027e-01	5.482638e-01	5.482638e-01
# END HISTO1D

