# BEGIN PLOT
Legend=1
LogY=1
Title=[Figure 30 Correlation Functon, AuAu, 0-20 ,2-3 $\otimes$ 4.095-5.285 GeV/c]
XLabel=[$\Delta\phi$]
YLabel=[Jet-Induced Hadron Pair Yield]
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig30CorrFunc_45_1_1ptAssoc_7
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig30CorrFunc_45_1_1ptAssoc_7
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig30CorrFunc_45_1_1ptAssoc_7
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig30CorrFunc_45_1_1ptAssoc_7
ScaledBy=3.37286111875514906e-06
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.570796e+00	-1.431170e+00	nan	nan	nan
-1.431170e+00	-1.291544e+00	nan	nan	nan
-1.291544e+00	-1.151917e+00	nan	nan	nan
-1.151917e+00	-1.012291e+00	nan	nan	nan
-1.012291e+00	-8.726646e-01	nan	nan	nan
-8.726646e-01	-7.330383e-01	nan	nan	nan
-7.330383e-01	-5.934119e-01	nan	nan	nan
-5.934119e-01	-4.537856e-01	nan	nan	nan
-4.537856e-01	-3.141593e-01	nan	nan	nan
-3.141593e-01	-1.745329e-01	nan	nan	nan
-1.745329e-01	-3.490659e-02	nan	nan	nan
-3.490659e-02	1.047198e-01	nan	nan	nan
1.047198e-01	2.443461e-01	nan	nan	nan
2.443461e-01	3.839724e-01	nan	nan	nan
3.839724e-01	5.235988e-01	nan	nan	nan
5.235988e-01	6.632251e-01	nan	nan	nan
6.632251e-01	8.028515e-01	nan	nan	nan
8.028515e-01	9.424778e-01	nan	nan	nan
9.424778e-01	1.082104e+00	nan	nan	nan
1.082104e+00	1.221730e+00	nan	nan	nan
1.221730e+00	1.361357e+00	nan	nan	nan
1.361357e+00	1.500983e+00	nan	nan	nan
1.500983e+00	1.640609e+00	nan	nan	nan
1.640609e+00	1.780236e+00	nan	nan	nan
1.780236e+00	1.919862e+00	nan	nan	nan
1.919862e+00	2.059489e+00	nan	nan	nan
2.059489e+00	2.199115e+00	nan	nan	nan
2.199115e+00	2.338741e+00	nan	nan	nan
2.338741e+00	2.478368e+00	nan	nan	nan
2.478368e+00	2.617994e+00	nan	nan	nan
2.617994e+00	2.757620e+00	nan	nan	nan
2.757620e+00	2.897247e+00	nan	nan	nan
2.897247e+00	3.036873e+00	nan	nan	nan
3.036873e+00	3.176499e+00	nan	nan	nan
3.176499e+00	3.316126e+00	nan	nan	nan
3.316126e+00	3.455752e+00	nan	nan	nan
3.455752e+00	3.595378e+00	nan	nan	nan
3.595378e+00	3.735005e+00	nan	nan	nan
3.735005e+00	3.874631e+00	nan	nan	nan
3.874631e+00	4.014257e+00	nan	nan	nan
4.014257e+00	4.153884e+00	nan	nan	nan
4.153884e+00	4.293510e+00	nan	nan	nan
4.293510e+00	4.433136e+00	nan	nan	nan
4.433136e+00	4.572763e+00	nan	nan	nan
4.572763e+00	4.712389e+00	nan	nan	nan
# END HISTO1D

