# BEGIN PLOT
Legend=1
LogY=1
Title=[Figure 30 Correlation Functon, AuAu, 0-20 ,3-4 $\otimes$ 1.415-1.915 GeV/c]
XLabel=[$\Delta\phi$]
YLabel=[Jet-Induced Hadron Pair Yield]
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig30CorrFunc_45_1_2ptAssoc_3
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig30CorrFunc_45_1_2ptAssoc_3
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig30CorrFunc_45_1_2ptAssoc_3
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/Fig30CorrFunc_45_1_2ptAssoc_3
ScaledBy=2.67580315421241815e-05
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.570796e+00	-1.431170e+00	0.000000e+00	-nan	-nan
-1.431170e+00	-1.291544e+00	4.715459e-01	5.719053e-01	5.719053e-01
-1.291544e+00	-1.151917e+00	2.153478e+00	8.552266e-01	8.552266e-01
-1.151917e+00	-1.012291e+00	2.146172e+00	8.531992e-01	8.531992e-01
-1.012291e+00	-8.726646e-01	4.838714e-01	5.769800e-01	5.769800e-01
-8.726646e-01	-7.330383e-01	4.807177e-01	5.756948e-01	5.756948e-01
-7.330383e-01	-5.934119e-01	1.428713e+00	7.457333e-01	7.457333e-01
-5.934119e-01	-4.537856e-01	2.394222e+00	8.885312e-01	8.885312e-01
-4.537856e-01	-3.141593e-01	2.616831e+00	9.157239e-01	9.157239e-01
-3.141593e-01	-1.745329e-01	7.164204e-01	6.220773e-01	6.220773e-01
-1.745329e-01	-3.490659e-02	2.386699e+00	8.864684e-01	8.864684e-01
-3.490659e-02	1.047198e-01	1.188287e+00	7.059350e-01	7.059350e-01
1.047198e-01	2.443461e-01	7.363842e-01	6.296389e-01	6.296389e-01
2.443461e-01	3.839724e-01	4.781753e-01	5.746530e-01	5.746530e-01
3.839724e-01	5.235988e-01	9.520019e-01	6.652112e-01	6.652112e-01
5.235988e-01	6.632251e-01	1.193989e+00	7.078558e-01	7.078558e-01
6.632251e-01	8.028515e-01	9.623510e-01	6.689329e-01	6.689329e-01
8.028515e-01	9.424778e-01	4.726059e-01	5.723607e-01	5.723607e-01
9.424778e-01	1.082104e+00	7.077192e-01	6.187928e-01	6.187928e-01
1.082104e+00	1.221730e+00	1.449537e+00	7.524287e-01	7.524287e-01
1.221730e+00	1.361357e+00	1.184911e+00	7.047668e-01	7.047668e-01
1.361357e+00	1.500983e+00	2.560150e-01	5.301557e-01	5.301557e-01
1.500983e+00	1.640609e+00	7.269713e-01	6.260994e-01	6.260994e-01
1.640609e+00	1.780236e+00	7.111951e-01	6.200746e-01	6.200746e-01
1.780236e+00	1.919862e+00	9.809670e-03	4.696047e-01	4.696047e-01
1.919862e+00	2.059489e+00	9.538349e-01	6.658808e-01	6.658808e-01
2.059489e+00	2.199115e+00	7.293069e-01	6.270106e-01	6.270106e-01
2.199115e+00	2.338741e+00	7.147139e-01	6.214485e-01	6.214485e-01
2.338741e+00	2.478368e+00	1.413103e+00	7.407681e-01	7.407681e-01
2.478368e+00	2.617994e+00	4.795954e-01	5.752269e-01	5.752269e-01
2.617994e+00	2.757620e+00	4.806953e-01	5.756924e-01	5.756924e-01
2.757620e+00	2.897247e+00	4.876873e-01	5.785733e-01	5.785733e-01
2.897247e+00	3.036873e+00	2.172352e+00	8.604546e-01	8.604546e-01
3.036873e+00	3.176499e+00	2.427178e-01	5.241716e-01	5.241716e-01
3.176499e+00	3.316126e+00	1.882039e+00	8.116164e-01	8.116164e-01
3.316126e+00	3.455752e+00	7.094220e-01	6.194941e-01	6.194941e-01
3.455752e+00	3.595378e+00	7.169582e-01	6.222907e-01	6.222907e-01
3.595378e+00	3.735005e+00	7.313278e-01	6.277250e-01	6.277250e-01
3.735005e+00	3.874631e+00	9.553851e-01	6.663835e-01	6.663835e-01
3.874631e+00	4.014257e+00	1.875989e+00	8.098662e-01	8.098662e-01
4.014257e+00	4.153884e+00	7.216541e-01	6.242084e-01	6.242084e-01
4.153884e+00	4.293510e+00	7.100068e-01	6.196994e-01	6.196994e-01
4.293510e+00	4.433136e+00	2.557226e-01	5.301165e-01	5.301165e-01
4.433136e+00	4.572763e+00	1.652455e+00	7.785166e-01	7.785166e-01
4.572763e+00	4.712389e+00	7.193538e-01	6.233082e-01	6.233082e-01
# END HISTO1D

