# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d07-x01-y01
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d07-x01-y01
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d07-x01-y01
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d07-x01-y01
ScaledBy=1.16314185868567107e-05
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.567500e+00	-1.377500e+00	3.195579e+00	2.804365e-01	2.804365e-01
-1.377500e+00	-1.177500e+00	3.751501e-01	3.359135e-02	3.359135e-02
-1.177500e+00	-9.775000e-01	2.068428e+00	1.816767e-01	1.816767e-01
-9.775000e-01	-7.875000e-01	3.584537e+00	3.129808e-01	3.129808e-01
-7.875000e-01	-5.875000e-01	3.277345e+00	2.843038e-01	2.843038e-01
-5.875000e-01	-3.875000e-01	2.873175e+00	2.500457e-01	2.500457e-01
-3.875000e-01	-1.975000e-01	9.415200e-01	8.489399e-02	8.489399e-02
-1.975000e-01	2.500000e-03	1.160908e-01	1.043598e-02	1.043598e-02
2.500000e-03	1.425000e-01	2.276047e+00	2.185442e-01	2.185442e-01
1.425000e-01	3.925000e-01	3.323598e+00	2.743186e-01	2.743186e-01
3.925000e-01	6.825000e-01	1.775698e+00	1.445050e-01	1.445050e-01
6.825000e-01	9.825000e-01	3.671310e+00	2.916840e-01	2.916840e-01
9.825000e-01	1.272500e+00	1.918913e+00	1.560062e-01	1.560062e-01
1.272500e+00	1.572500e+00	2.371004e+00	1.905288e-01	1.905288e-01
1.572500e+00	1.862500e+00	2.522602e+00	2.037232e-01	2.037232e-01
1.862500e+00	2.112500e+00	4.285148e+00	3.504850e-01	3.504850e-01
2.112500e+00	2.302500e+00	1.417882e+00	1.268355e-01	1.268355e-01
2.302500e+00	2.502500e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.502500e+00	2.702500e+00	3.619468e+00	3.127523e-01	3.127523e-01
2.702500e+00	2.892500e+00	7.842342e-01	7.092995e-02	7.092995e-02
2.892500e+00	3.092500e+00	2.983341e+00	2.594228e-01	2.594228e-01
3.092500e+00	3.292500e+00	2.373426e+00	2.079310e-01	2.079310e-01
3.292500e+00	3.482500e+00	2.739994e+00	2.419336e-01	2.419336e-01
3.482500e+00	3.682500e+00	3.442775e+00	2.979482e-01	2.979482e-01
3.682500e+00	3.882500e+00	2.024648e+00	1.779853e-01	1.779853e-01
3.882500e+00	4.122500e+00	1.555888e+00	1.318408e-01	1.318408e-01
4.122500e+00	4.422500e+00	2.793786e+00	2.236244e-01	2.236244e-01
4.422500e+00	4.722500e+00	7.283217e-01	5.950886e-02	5.950886e-02
# END HISTO1D

