# BEGIN PLOT
Legend=1
LogY=1
Title=[Figure 9]
XLabel=[$\Delta\phi$ (rad)]
YLabel=[Per-Trigger Yield]
DrawOnly=/PHENIX_2008_I778396/d13-x01-y01 //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d13-x01-y01
LegendOnly=/PHENIX_2008_I778396/d13-x01-y01 //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d13-x01-y01
RatioPlot=1
RatioPlotReference=/PHENIX_2008_I778396/d13-x01-y01
# END PLOT

# BEGIN HISTO1D /PHENIX_2008_I778396/d13-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2008_I778396/d13-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-1.570805e+00	-1.374455e+00	4.186560e-03	8.843670e-04	8.843670e-04
-1.374455e+00	-1.178105e+00	1.475430e-03	7.772490e-04	7.772490e-04
-1.178105e+00	-9.817495e-01	8.292130e-04	6.576940e-04	6.576940e-04
-9.817500e-01	-7.854000e-01	-2.306980e-04	5.733810e-04	5.733810e-04
-7.854000e-01	-5.890500e-01	4.180930e-03	5.170800e-04	5.170800e-04
-5.890500e-01	-3.927000e-01	1.127940e-02	4.692960e-04	4.692960e-04
-3.927000e-01	-1.963500e-01	1.900930e-02	4.283750e-04	4.283750e-04
-1.963500e-01	0.000000e+00	2.267170e-02	4.054960e-04	4.054960e-04
0.000000e+00	1.963500e-01	2.312480e-02	4.054300e-04	4.054300e-04
1.963500e-01	3.927000e-01	1.943030e-02	4.257610e-04	4.257610e-04
3.927000e-01	5.890500e-01	1.167420e-02	4.586710e-04	4.586710e-04
5.890500e-01	7.854000e-01	4.291820e-03	4.956480e-04	4.956480e-04
7.854000e-01	9.817450e-01	1.028880e-04	5.447320e-04	5.447320e-04
9.817450e-01	1.178095e+00	9.477980e-04	6.287860e-04	6.287860e-04
1.178095e+00	1.374445e+00	1.871220e-03	7.625700e-04	7.625700e-04
1.374445e+00	1.570795e+00	4.545060e-03	8.917950e-04	8.917950e-04
1.570795e+00	1.767145e+00	6.521410e-03	8.591870e-04	8.591870e-04
1.767145e+00	1.963495e+00	8.897860e-03	7.457410e-04	7.457410e-04
1.963495e+00	2.159845e+00	7.336670e-03	6.495490e-04	6.495490e-04
2.159845e+00	2.356195e+00	7.029420e-03	5.710620e-04	5.710620e-04
2.356195e+00	2.552545e+00	5.968770e-03	5.112200e-04	5.112200e-04
2.552545e+00	2.748895e+00	4.475160e-03	4.713410e-04	4.713410e-04
2.748895e+00	2.945245e+00	3.084170e-03	4.520480e-04	4.520480e-04
2.945245e+00	3.141595e+00	2.287770e-03	4.465370e-04	4.465370e-04
3.141595e+00	3.337945e+00	2.329010e-03	4.464310e-04	4.464310e-04
3.337945e+00	3.534295e+00	2.949240e-03	4.506330e-04	4.506330e-04
3.534295e+00	3.730645e+00	4.725180e-03	4.680920e-04	4.680920e-04
3.730645e+00	3.926995e+00	5.663550e-03	5.061340e-04	5.061340e-04
3.926995e+00	4.123345e+00	7.041890e-03	5.633310e-04	5.633310e-04
4.123345e+00	4.319695e+00	7.365940e-03	6.374640e-04	6.374640e-04
4.319695e+00	4.516045e+00	8.465420e-03	7.307550e-04	7.307550e-04
4.516045e+00	4.712395e+00	7.034140e-03	8.449780e-04	8.449780e-04
# END HISTO1D


# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d13-x01-y01
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d13-x01-y01
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.570805e+00	-1.374455e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.374455e+00	-1.178105e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.178105e+00	-9.817495e-01	0.000000e+00	0.000000e+00	0.000000e+00
-9.817500e-01	-7.854000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-7.854000e-01	-5.890500e-01	0.000000e+00	0.000000e+00	0.000000e+00
-5.890500e-01	-3.927000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-3.927000e-01	-1.963500e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.963500e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	1.963500e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.963500e-01	3.927000e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.927000e-01	5.890500e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.890500e-01	7.854000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.854000e-01	9.817450e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.817450e-01	1.178095e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.178095e+00	1.374445e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.374445e+00	1.570795e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.570795e+00	1.767145e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.767145e+00	1.963495e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.963495e+00	2.159845e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.159845e+00	2.356195e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.356195e+00	2.552545e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.552545e+00	2.748895e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.748895e+00	2.945245e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.945245e+00	3.141595e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.141595e+00	3.337945e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.337945e+00	3.534295e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.534295e+00	3.730645e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.730645e+00	3.926995e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.926995e+00	4.123345e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.123345e+00	4.319695e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.319695e+00	4.516045e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.516045e+00	4.712395e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

