# BEGIN PLOT
Legend=1
LogY=1
Title=[Figure 36, 3-4 $\otimes$ 0.4-1 GeV/c]
XLabel=[$\Delta\phi$ (rad)]
YLabel=[Per-trigger yield]
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d53-x01-y02
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d53-x01-y02
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d53-x01-y02
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d53-x01-y02
ScaledBy=2.67580315421241815e-05
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	5.801362e+00	7.554090e-01	7.554090e-01
-1.275000e+00	-9.800000e-01	3.234848e+00	4.202572e-01	4.202572e-01
-9.800000e-01	-6.850000e-01	7.286336e+00	9.331057e-01	9.331057e-01
-6.850000e-01	-4.150000e-01	6.489030e+00	8.415355e-01	8.415355e-01
-4.150000e-01	-2.200000e-01	3.169086e+00	4.357254e-01	4.357254e-01
-2.200000e-01	-1.000000e-01	5.579103e+00	8.244354e-01	8.244354e-01
-1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	1.000000e-01	7.935793e+00	1.200589e+00	1.200589e+00
1.000000e-01	2.200000e-01	4.519433e+00	6.727936e-01	6.727936e-01
2.200000e-01	4.150000e-01	3.867607e+00	5.298389e-01	5.298389e-01
4.150000e-01	6.850000e-01	4.190226e+00	5.482514e-01	5.482514e-01
6.850000e-01	9.800000e-01	8.387166e+00	1.070745e+00	1.070745e+00
9.800000e-01	1.275000e+00	2.970345e+00	3.864191e-01	3.864191e-01
1.275000e+00	1.595000e+00	6.851284e+00	8.715388e-01	8.715388e-01
1.595000e+00	1.965000e+00	5.915741e+00	7.442539e-01	7.442539e-01
1.965000e+00	2.305000e+00	5.712621e+00	7.249016e-01	7.249016e-01
2.305000e+00	2.550000e+00	2.277726e+00	3.042396e-01	3.042396e-01
2.550000e+00	2.750000e+00	2.836214e+00	3.892435e-01	3.892435e-01
2.750000e+00	2.945000e+00	2.155087e+00	2.980103e-01	2.980103e-01
2.945000e+00	3.140000e+00	5.048579e+00	6.874705e-01	6.874705e-01
3.140000e+00	3.340000e+00	4.723172e+00	6.415781e-01	6.415781e-01
3.340000e+00	3.535000e+00	3.093265e+00	4.253006e-01	4.253006e-01
3.535000e+00	3.730000e+00	2.983796e+00	4.106314e-01	4.106314e-01
3.730000e+00	3.975000e+00	5.298286e+00	6.983490e-01	6.983490e-01
3.975000e+00	4.320000e+00	3.733461e+00	4.761545e-01	4.761545e-01
4.320000e+00	4.701200e+00	3.243778e+00	4.104136e-01	4.104136e-01
# END HISTO1D

