# BEGIN PLOT
Legend=1
LogY=1
Title=[Figure 36, 4-5 $\otimes$ 0.4-1 GeV/c]
XLabel=[$\Delta\phi$ (rad)]
YLabel=[Per-trigger yield]
DrawOnly=/PHENIX_2008_I778396/d53-x01-y03 //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d53-x01-y03
LegendOnly=/PHENIX_2008_I778396/d53-x01-y03 //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d53-x01-y03
RatioPlot=1
RatioPlotReference=/PHENIX_2008_I778396/d53-x01-y03
# END PLOT

# BEGIN HISTO1D /PHENIX_2008_I778396/d53-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2008_I778396/d53-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	4.080000e-03	3.300000e-04	6.659294e-04
-1.275000e+00	-9.800000e-01	5.050000e-04	2.630000e-04	2.875460e-04
-9.800000e-01	-6.850000e-01	1.520000e-03	7.339537e-04	2.160000e-04
-6.850000e-01	-4.150000e-01	9.770000e-03	1.651111e-03	1.870000e-04
-4.150000e-01	-2.200000e-01	2.030000e-02	2.272009e-03	2.050000e-04
-2.200000e-01	-1.000000e-01	2.360000e-02	2.504604e-03	2.790000e-04
-1.000000e-01	0.000000e+00	2.590000e-02	2.574243e-03	2.730000e-04
0.000000e+00	1.000000e-01	2.590000e-02	2.574243e-03	2.730000e-04
1.000000e-01	2.200000e-01	2.360000e-02	2.504493e-03	2.780000e-04
2.200000e-01	4.150000e-01	2.020000e-02	2.271919e-03	2.040000e-04
4.150000e-01	6.850000e-01	9.820000e-03	1.650553e-03	1.820000e-04
6.850000e-01	9.800000e-01	1.520000e-03	7.307920e-04	2.050000e-04
9.800000e-01	1.275000e+00	5.290000e-04	2.520000e-04	2.775206e-04
1.275000e+00	1.595000e+00	4.330000e-03	3.300000e-04	6.659294e-04
1.595000e+00	1.965000e+00	8.120000e-03	2.650000e-04	5.941187e-04
1.965000e+00	2.305000e+00	8.360000e-03	3.300318e-04	2.030000e-04
2.305000e+00	2.550000e+00	6.690000e-03	1.200071e-03	2.430000e-04
2.550000e+00	2.750000e+00	5.160000e-03	1.795933e-03	2.240000e-04
2.750000e+00	2.945000e+00	3.670000e-03	2.273028e-03	2.160000e-04
2.945000e+00	3.140000e+00	2.940000e-03	2.540388e-03	2.130000e-04
3.140000e+00	3.340000e+00	3.010000e-03	2.540388e-03	2.130000e-04
3.340000e+00	3.535000e+00	3.660000e-03	2.272933e-03	2.150000e-04
3.535000e+00	3.730000e+00	5.110000e-03	1.795809e-03	2.230000e-04
3.730000e+00	3.975000e+00	6.890000e-03	1.199467e-03	2.400000e-04
3.975000e+00	4.320000e+00	8.340000e-03	3.281951e-04	2.000000e-04
4.320000e+00	4.701200e+00	8.140000e-03	2.600000e-04	5.919054e-04
# END HISTO1D


# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d53-x01-y03
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d53-x01-y03
ScaledBy=8.02740946263725392e-04
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	1.788342e+01	1.931631e+01	1.931631e+01
-1.275000e+00	-9.800000e-01	1.559291e+01	1.684227e+01	1.684227e+01
-9.800000e-01	-6.850000e-01	1.906790e+01	2.038444e+01	2.038444e+01
-6.850000e-01	-4.150000e-01	6.133211e+00	7.082022e+00	7.082022e+00
-4.150000e-01	-2.200000e-01	1.577111e+01	1.763265e+01	1.763265e+01
-2.200000e-01	-1.000000e-01	3.285649e+00	4.646609e+00	4.646609e+00
-1.000000e-01	0.000000e+00	1.524541e+01	1.867174e+01	1.867174e+01
0.000000e+00	1.000000e-01	3.574786e+01	3.996732e+01	3.996732e+01
1.000000e-01	2.200000e-01	2.037102e+01	2.352243e+01	2.352243e+01
2.200000e-01	4.150000e-01	1.577111e+01	1.763265e+01	1.763265e+01
4.150000e-01	6.850000e-01	3.271046e+01	3.430702e+01	3.430702e+01
6.850000e-01	9.800000e-01	2.949287e+01	3.093239e+01	3.093239e+01
9.800000e-01	1.275000e+00	1.559291e+01	1.684227e+01	1.684227e+01
1.275000e+00	1.595000e+00	2.677804e+01	2.808504e+01	2.808504e+01
1.595000e+00	1.965000e+00	1.413717e+01	1.511327e+01	1.511327e+01
1.965000e+00	2.305000e+00	1.886349e+01	2.000775e+01	2.000775e+01
2.305000e+00	2.550000e+00	1.984800e+01	2.143829e+01	2.143829e+01
2.550000e+00	2.750000e+00	2.037102e+01	2.231534e+01	2.231534e+01
2.750000e+00	2.945000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.945000e+00	3.140000e+00	1.051408e+01	1.214061e+01	1.214061e+01
3.140000e+00	3.340000e+00	1.011980e+01	1.168534e+01	1.168534e+01
3.340000e+00	3.535000e+00	1.577111e+01	1.763265e+01	1.763265e+01
3.535000e+00	3.730000e+00	1.577111e+01	1.763265e+01	1.763265e+01
3.730000e+00	3.975000e+00	2.821635e+01	2.992796e+01	2.992796e+01
3.975000e+00	4.320000e+00	3.039939e+01	3.164069e+01	3.164069e+01
4.320000e+00	4.701200e+00	1.625655e+01	1.724267e+01	1.724267e+01
# END HISTO1D

