# BEGIN PLOT
Legend=1
LogY=1
Title=[Figure 36, 2-3 $\otimes$ 1-2 GeV/c]
XLabel=[$\Delta\phi$ (rad)]
YLabel=[Per-trigger yield]
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d53-x01-y05
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d53-x01-y05
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d53-x01-y05
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d53-x01-y05
ScaledBy=3.37286111875514906e-06
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	1.084781e+00	9.140980e-02	9.140980e-02
-1.275000e+00	-9.800000e-01	5.454108e-01	4.588938e-02	4.588938e-02
-9.800000e-01	-6.850000e-01	5.472322e-01	4.604263e-02	4.604263e-02
-6.850000e-01	-4.150000e-01	8.181730e-01	6.934259e-02	6.934259e-02
-4.150000e-01	-2.200000e-01	1.272573e+00	1.135660e-01	1.135660e-01
-2.200000e-01	-1.000000e-01	9.310158e-01	9.558348e-02	9.558348e-02
-1.000000e-01	0.000000e+00	2.252148e-01	2.548875e-02	2.548875e-02
0.000000e+00	1.000000e-01	1.241549e+00	1.325513e-01	1.325513e-01
1.000000e-01	2.200000e-01	9.863400e-01	1.009055e-01	1.009055e-01
2.200000e-01	4.150000e-01	8.245759e-01	7.490236e-02	7.490236e-02
4.150000e-01	6.850000e-01	5.848570e-01	4.998336e-02	4.998336e-02
6.850000e-01	9.800000e-01	4.103556e-01	3.470488e-02	3.470488e-02
9.800000e-01	1.275000e+00	8.397237e-01	6.997151e-02	6.997151e-02
1.275000e+00	1.595000e+00	1.669143e-01	1.402961e-02	1.402961e-02
1.595000e+00	1.965000e+00	6.646403e-01	5.353809e-02	5.353809e-02
1.965000e+00	2.305000e+00	9.707468e-01	7.859947e-02	7.859947e-02
2.305000e+00	2.550000e+00	7.271302e-01	6.305755e-02	6.305755e-02
2.550000e+00	2.750000e+00	4.585310e-01	4.207843e-02	4.207843e-02
2.750000e+00	2.945000e+00	4.404377e-01	4.069587e-02	4.069587e-02
2.945000e+00	3.140000e+00	1.913337e-01	1.790082e-02	1.790082e-02
3.140000e+00	3.340000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.340000e+00	3.535000e+00	7.915877e-01	7.197050e-02	7.197050e-02
3.535000e+00	3.730000e+00	5.643728e-01	5.184108e-02	5.184108e-02
3.730000e+00	3.975000e+00	5.224253e-01	4.566825e-02	4.566825e-02
3.975000e+00	4.320000e+00	6.650299e-01	5.420063e-02	5.420063e-02
4.320000e+00	4.701200e+00	5.108520e-01	4.115015e-02	4.115015e-02
# END HISTO1D

