# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d53-x01-y06
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d53-x01-y06
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d53-x01-y06
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d53-x01-y06
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	1.945824e+05	3.002857e+04	3.002857e+04
-1.275000e+00	-9.800000e-01	2.557771e+05	3.275771e+04	3.275771e+04
-9.800000e-01	-6.850000e-01	1.935622e+05	2.854375e+04	2.854375e+04
-6.850000e-01	-4.150000e-01	2.515044e+05	3.391954e+04	3.391954e+04
-4.150000e-01	-2.200000e-01	2.024954e+05	3.580241e+04	3.580241e+04
-2.200000e-01	-1.000000e-01	2.575975e+05	5.152658e+04	5.152658e+04
-1.000000e-01	0.000000e+00	2.595105e+05	5.664112e+04	5.664112e+04
0.000000e+00	1.000000e-01	2.353692e+05	5.400703e+04	5.400703e+04
1.000000e-01	2.200000e-01	1.248832e+05	3.605867e+04	3.605867e+04
2.200000e-01	4.150000e-01	2.092870e+05	3.643868e+04	3.643868e+04
4.150000e-01	6.850000e-01	1.781609e+05	2.853400e+04	2.853400e+04
6.850000e-01	9.800000e-01	2.384801e+05	3.159306e+04	3.159306e+04
9.800000e-01	1.275000e+00	2.141093e+05	2.998725e+04	2.998725e+04
1.275000e+00	1.595000e+00	1.849484e+05	2.669949e+04	2.669949e+04
1.595000e+00	1.965000e+00	1.793682e+05	2.441238e+04	2.441238e+04
1.965000e+00	2.305000e+00	1.975011e+05	2.688241e+04	2.688241e+04
2.305000e+00	2.550000e+00	2.118926e+05	3.270110e+04	3.270110e+04
2.550000e+00	2.750000e+00	2.032591e+05	3.538874e+04	3.538874e+04
2.750000e+00	2.945000e+00	2.090189e+05	3.639115e+04	3.639115e+04
2.945000e+00	3.140000e+00	2.613488e+05	4.082321e+04	4.082321e+04
3.140000e+00	3.340000e+00	2.290443e+05	3.766187e+04	3.766187e+04
3.340000e+00	3.535000e+00	2.090149e+05	3.639361e+04	3.639361e+04
3.535000e+00	3.730000e+00	1.401695e+05	2.989070e+04	2.989070e+04
3.730000e+00	3.975000e+00	2.757582e+05	3.718757e+04	3.718757e+04
3.975000e+00	4.320000e+00	1.711701e+05	2.471214e+04	2.471214e+04
4.320000e+00	4.701200e+00	1.875738e+05	2.463381e+04	2.463381e+04
# END HISTO1D

