# BEGIN PLOT
Legend=1
LogY=1
Title=[Figure 37, 5-10 $\otimes$ 1-2 GeV/c]
XLabel=[$\Delta\phi$ (rad)]
YLabel=[Per-trigger yield]
DrawOnly=/PHENIX_2008_I778396/d55-x01-y08 //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d55-x01-y08
LegendOnly=/PHENIX_2008_I778396/d55-x01-y08 //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d55-x01-y08
RatioPlot=1
RatioPlotReference=/PHENIX_2008_I778396/d55-x01-y08
# END PLOT

# BEGIN HISTO1D /PHENIX_2008_I778396/d55-x01-y08
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2008_I778396/d55-x01-y08
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	1.780000e-02	7.830013e-03	6.385491e-03
-1.275000e+00	-9.800000e-01	5.910000e-04	3.055143e-03	3.014780e-03
-9.800000e-01	-6.850000e-01	1.560000e-02	7.083502e-03	9.681364e-03
-6.850000e-01	-4.150000e-01	6.370000e-02	1.720857e-02	2.313233e-02
-4.150000e-01	-2.200000e-01	1.320000e-01	2.459503e-02	3.273966e-02
-2.200000e-01	-1.000000e-01	1.730000e-01	2.745892e-02	3.632386e-02
-1.000000e-01	0.000000e+00	1.870000e-01	2.825338e-02	3.745082e-02
0.000000e+00	1.000000e-01	1.950000e-01	2.825442e-02	3.745160e-02
1.000000e-01	2.200000e-01	1.770000e-01	2.745892e-02	3.632386e-02
2.200000e-01	4.150000e-01	1.300000e-01	2.459242e-02	3.273770e-02
4.150000e-01	6.850000e-01	6.040000e-02	1.720413e-02	2.312903e-02
6.850000e-01	9.800000e-01	9.660000e-03	7.046474e-03	9.654305e-03
9.800000e-01	1.275000e+00	2.210000e-03	2.959493e-03	2.917807e-03
1.275000e+00	1.595000e+00	1.990000e-02	7.834118e-03	6.390524e-03
1.595000e+00	1.965000e+00	4.780000e-02	7.131192e-03	5.792495e-03
1.965000e+00	2.305000e+00	7.610000e-02	3.048623e-03	3.991240e-03
2.305000e+00	2.550000e+00	6.900000e-02	1.207028e-02	1.632089e-02
2.550000e+00	2.750000e+00	6.050000e-02	1.885085e-02	2.528526e-02
2.750000e+00	2.945000e+00	5.260000e-02	2.460679e-02	3.274850e-02
2.945000e+00	3.140000e+00	4.110000e-02	2.789171e-02	3.698010e-02
3.140000e+00	3.340000e+00	4.670000e-02	2.789090e-02	3.697949e-02
3.340000e+00	3.535000e+00	5.040000e-02	2.460402e-02	3.274641e-02
3.535000e+00	3.730000e+00	5.920000e-02	1.884833e-02	2.528339e-02
3.730000e+00	3.975000e+00	6.840000e-02	1.205574e-02	1.631015e-02
3.975000e+00	4.320000e+00	7.420000e-02	3.000833e-03	3.954858e-03
4.320000e+00	4.701200e+00	5.360000e-02	7.097732e-03	5.751252e-03
# END HISTO1D


# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d55-x01-y08
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d55-x01-y08
ScaledBy=inf
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.275000e+00	-9.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-9.800000e-01	-6.850000e-01	0.000000e+00	0.000000e+00	0.000000e+00
