# BEGIN PLOT
Legend=1
LogY=1
Title=[Figure 38, Au + Au, 2-3 $\otimes$ 0.4-1 GeV/c]
XLabel=[$\Delta\phi$ (rad)]
YLabel=[Per-trigger yield]
DrawOnly=/PHENIX_2008_I778396/d57-x01-y01 //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d57-x01-y01
LegendOnly=/PHENIX_2008_I778396/d57-x01-y01 //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d57-x01-y01
RatioPlot=1
RatioPlotReference=/PHENIX_2008_I778396/d57-x01-y01
# END PLOT

# BEGIN HISTO1D /PHENIX_2008_I778396/d57-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2008_I778396/d57-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	-5.920000e-05	2.010358e-03	2.164532e-03
-1.275000e+00	-9.800000e-01	3.360000e-03	1.805407e-03	2.282301e-03
-9.800000e-01	-6.850000e-01	1.500000e-02	4.430542e-03	6.208011e-03
-6.850000e-01	-4.150000e-01	4.980000e-02	8.365435e-03	1.122906e-02
-4.150000e-01	-2.200000e-01	9.310000e-02	1.110045e-02	1.464241e-02
-2.200000e-01	-1.000000e-01	1.030000e-01	1.218236e-02	1.597780e-02
-1.000000e-01	0.000000e+00	1.080000e-01	1.257657e-02	1.639848e-02
0.000000e+00	1.000000e-01	1.040000e-01	1.257324e-02	1.639593e-02
1.000000e-01	2.200000e-01	1.040000e-01	1.217893e-02	1.597518e-02
2.200000e-01	4.150000e-01	9.270000e-02	1.109647e-02	1.463939e-02
4.150000e-01	6.850000e-01	5.160000e-02	8.360969e-03	1.122573e-02
6.850000e-01	9.800000e-01	1.290000e-02	4.417703e-03	6.198855e-03
9.800000e-01	1.275000e+00	2.670000e-03	1.750056e-03	2.238772e-03
1.275000e+00	1.595000e+00	5.280000e-03	1.984147e-03	2.140210e-03
1.595000e+00	1.965000e+00	1.500000e-02	1.725977e-03	1.899947e-03
1.965000e+00	2.305000e+00	3.430000e-02	2.653243e-03	3.860414e-03
2.305000e+00	2.550000e+00	4.950000e-02	6.482353e-03	8.796499e-03
2.550000e+00	2.750000e+00	5.270000e-02	9.059674e-03	1.206211e-02
2.750000e+00	2.945000e+00	5.890000e-02	1.111148e-02	1.465076e-02
2.945000e+00	3.140000e+00	5.940000e-02	1.229432e-02	1.619353e-02
3.140000e+00	3.340000e+00	5.790000e-02	1.229187e-02	1.619166e-02
3.340000e+00	3.535000e+00	5.960000e-02	1.110867e-02	1.464863e-02
3.535000e+00	3.730000e+00	5.430000e-02	9.056075e-03	1.205941e-02
3.730000e+00	3.975000e+00	4.550000e-02	6.471854e-03	8.788766e-03
3.975000e+00	4.320000e+00	3.440000e-02	2.633268e-03	3.846713e-03
4.320000e+00	4.701200e+00	1.470000e-02	1.689674e-03	1.867030e-03
# END HISTO1D


# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d57-x01-y01
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d57-x01-y01
ScaledBy=9.19031547598297521e-06
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	1.689211e+00	7.852742e-01	7.852742e-01
-1.275000e+00	-9.800000e-01	1.758568e+00	7.673389e-01	7.673389e-01
-9.800000e-01	-6.850000e-01	1.699654e+00	7.666508e-01	7.666508e-01
-6.850000e-01	-4.150000e-01	1.621681e+00	7.807530e-01	7.807530e-01
-4.150000e-01	-2.200000e-01	2.323290e+00	8.797791e-01	8.797791e-01
-2.200000e-01	-1.000000e-01	3.196943e+00	1.081970e+00	1.081970e+00
-1.000000e-01	0.000000e+00	3.414064e+00	1.171182e+00	1.171182e+00
0.000000e+00	1.000000e-01	2.847881e+00	1.136464e+00	1.136464e+00
1.000000e-01	2.200000e-01	2.329993e+00	1.038027e+00	1.038027e+00
2.200000e-01	4.150000e-01	3.046127e+00	9.090537e-01	9.090537e-01
4.150000e-01	6.850000e-01	2.935025e+00	8.237869e-01	8.237869e-01
6.850000e-01	9.800000e-01	2.603864e+00	7.927957e-01	7.927957e-01
9.800000e-01	1.275000e+00	2.952565e+00	8.037008e-01	8.037008e-01
1.275000e+00	1.595000e+00	2.415903e+00	7.726092e-01	7.726092e-01
1.595000e+00	1.965000e+00	2.204578e+00	7.404623e-01	7.404623e-01
1.965000e+00	2.305000e+00	2.678048e+00	7.683512e-01	7.683512e-01
2.305000e+00	2.550000e+00	1.347561e+00	7.900791e-01	7.900791e-01
2.550000e+00	2.750000e+00	1.384074e+00	8.342748e-01	8.342748e-01
2.750000e+00	2.945000e+00	1.116364e+00	8.296086e-01	8.296086e-01
2.945000e+00	3.140000e+00	0.000000e+00	-nan	-nan
3.140000e+00	3.340000e+00	2.113979e+00	8.656434e-01	8.656434e-01
3.340000e+00	3.535000e+00	1.865224e+00	8.627574e-01	8.627574e-01
3.535000e+00	3.730000e+00	3.528098e+00	9.297976e-01	9.297976e-01
3.730000e+00	3.975000e+00	2.649504e+00	8.354511e-01	8.354511e-01
3.975000e+00	4.320000e+00	2.181238e+00	7.525924e-01	7.525924e-01
4.320000e+00	4.701200e+00	2.768080e+00	7.500553e-01	7.500553e-01
# END HISTO1D

