# BEGIN PLOT
Legend=1
LogY=1
Title=[Figure 38, Au + Au, 5-10 $\otimes$ 0.4-1 GeV/c]
XLabel=[$\Delta\phi$ (rad)]
YLabel=[Per-trigger yield]
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d57-x01-y04
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d57-x01-y04
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d57-x01-y04
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d57-x01-y04
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	5.650734e+03	5.650733e+03	5.650733e+03
-1.275000e+00	-9.800000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-9.800000e-01	-6.850000e-01	2.036562e+04	1.018281e+04	1.018281e+04
-6.850000e-01	-4.150000e-01	5.562833e+03	5.562832e+03	5.562832e+03
-4.150000e-01	-2.200000e-01	1.540476e+04	1.089281e+04	1.089281e+04
-2.200000e-01	-1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-01	2.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e-01	4.150000e-01	7.702385e+03	7.702383e+03	7.702383e+03
4.150000e-01	6.850000e-01	1.112566e+04	7.867033e+03	7.867033e+03
6.850000e-01	9.800000e-01	1.018281e+04	7.200335e+03	7.200335e+03
9.800000e-01	1.275000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.275000e+00	1.595000e+00	9.387278e+03	6.637809e+03	6.637809e+03
1.595000e+00	1.965000e+00	8.118727e+03	5.740808e+03	5.740808e+03
1.965000e+00	2.305000e+00	4.417544e+03	4.417543e+03	4.417543e+03
2.305000e+00	2.550000e+00	6.130469e+03	6.130468e+03	6.130468e+03
2.550000e+00	2.750000e+00	7.509825e+03	7.509824e+03	7.509824e+03
2.750000e+00	2.945000e+00	7.702385e+03	7.702383e+03	7.702383e+03
2.945000e+00	3.140000e+00	7.702385e+03	7.702383e+03	7.702383e+03
3.140000e+00	3.340000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.340000e+00	3.535000e+00	7.702385e+03	7.702383e+03	7.702383e+03
3.535000e+00	3.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.730000e+00	3.975000e+00	6.130469e+03	6.130468e+03	6.130468e+03
3.975000e+00	4.320000e+00	4.353522e+03	4.353521e+03	4.353521e+03
4.320000e+00	4.701200e+00	3.940097e+03	3.940096e+03	3.940096e+03
# END HISTO1D

