# BEGIN PLOT
Legend=1
LogY=1
Title=[Figure 38, Au + Au, 2-3 $\otimes$ 1-2 GeV/c]
XLabel=[$\Delta\phi$ (rad)]
YLabel=[Per-trigger yield]
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d57-x01-y05
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d57-x01-y05
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d57-x01-y05
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d57-x01-y05
ScaledBy=9.19031547598297521e-06
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	3.414019e-01	1.270676e-01	1.270676e-01
-1.275000e+00	-9.800000e-01	2.285959e-01	8.508194e-02	8.508194e-02
-9.800000e-01	-6.850000e-01	2.035391e-01	7.640422e-02	7.640422e-02
-6.850000e-01	-4.150000e-01	5.703641e-01	2.051493e-01	2.051493e-01
-4.150000e-01	-2.200000e-01	6.086041e-01	2.305804e-01	2.305804e-01
-2.200000e-01	-1.000000e-01	1.641124e-01	7.625650e-02	7.625650e-02
-1.000000e-01	0.000000e+00	4.989292e-01	2.242520e-01	2.242520e-01
0.000000e+00	1.000000e-01	2.076736e-01	1.004089e-01	1.004089e-01
1.000000e-01	2.200000e-01	1.070792e+00	4.194021e-01	4.194021e-01
2.200000e-01	4.150000e-01	5.421538e-01	2.074861e-01	2.074861e-01
4.150000e-01	6.850000e-01	8.360896e-01	2.934271e-01	2.934271e-01
6.850000e-01	9.800000e-01	2.221306e-01	8.267559e-02	8.267559e-02
9.800000e-01	1.275000e+00	2.377487e-01	8.848855e-02	8.848855e-02
1.275000e+00	1.595000e+00	1.982778e-01	7.321892e-02	7.321892e-02
1.595000e+00	1.965000e+00	1.828936e-01	6.617341e-02	6.617341e-02
1.965000e+00	2.305000e+00	2.297591e-01	8.365749e-02	8.365749e-02
2.305000e+00	2.550000e+00	4.906151e-01	1.811717e-01	1.811717e-01
2.550000e+00	2.750000e+00	2.951711e-01	1.171706e-01	1.171706e-01
2.750000e+00	2.945000e+00	1.914345e-01	7.842560e-02	7.842560e-02
2.945000e+00	3.140000e+00	1.026487e-01	4.284798e-02	4.284798e-02
3.140000e+00	3.340000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.340000e+00	3.535000e+00	8.913877e-01	3.267728e-01	3.267728e-01
3.535000e+00	3.730000e+00	1.014632e-01	4.235313e-02	4.235313e-02
3.730000e+00	3.975000e+00	5.495706e-01	2.014664e-01	2.014664e-01
3.975000e+00	4.320000e+00	1.733100e-01	6.353352e-02	6.353352e-02
4.320000e+00	4.701200e+00	5.908728e-01	2.029165e-01	2.029165e-01
# END HISTO1D

