# BEGIN PLOT
Legend=1
LogY=1
Title=[Figure 38, Au + Au, 4-5 $\otimes$ 1-2 GeV/c]
XLabel=[$\Delta\phi$ (rad)]
YLabel=[Per-trigger yield]
DrawOnly=/PHENIX_2008_I778396/d57-x01-y07 //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d57-x01-y07
LegendOnly=/PHENIX_2008_I778396/d57-x01-y07 //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d57-x01-y07
RatioPlot=1
RatioPlotReference=/PHENIX_2008_I778396/d57-x01-y07
# END PLOT

# BEGIN HISTO1D /PHENIX_2008_I778396/d57-x01-y07
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2008_I778396/d57-x01-y07
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	1.150000e-02	6.036564e-03	5.653079e-03
-1.275000e+00	-9.800000e-01	-8.120000e-04	4.816872e-03	4.798477e-03
-9.800000e-01	-6.850000e-01	1.440000e-02	5.196585e-03	5.766394e-03
-6.850000e-01	-4.150000e-01	5.750000e-02	8.310620e-03	1.010253e-02
-4.150000e-01	-2.200000e-01	1.180000e-01	1.125007e-02	1.375352e-02
-2.200000e-01	-1.000000e-01	1.340000e-01	1.300365e-02	1.565008e-02
-1.000000e-01	0.000000e+00	1.300000e-01	1.325145e-02	1.589594e-02
0.000000e+00	1.000000e-01	1.300000e-01	1.323330e-02	1.588081e-02
1.000000e-01	2.200000e-01	1.290000e-01	1.295727e-02	1.561156e-02
2.200000e-01	4.150000e-01	1.150000e-01	1.121232e-02	1.372266e-02
4.150000e-01	6.850000e-01	5.110000e-02	8.272249e-03	1.007099e-02
6.850000e-01	9.800000e-01	1.470000e-02	5.117861e-03	5.695551e-03
9.800000e-01	1.275000e+00	-7.410000e-04	4.648586e-03	4.629523e-03
1.275000e+00	1.595000e+00	-2.620000e-03	5.928676e-03	5.537725e-03
1.595000e+00	1.965000e+00	2.260000e-02	5.471627e-03	5.112514e-03
1.965000e+00	2.305000e+00	4.320000e-02	4.023854e-03	4.131549e-03
2.305000e+00	2.550000e+00	6.470000e-02	7.282479e-03	8.378132e-03
2.550000e+00	2.750000e+00	8.590000e-02	9.459117e-03	1.132556e-02
2.750000e+00	2.945000e+00	9.110000e-02	1.135176e-02	1.383682e-02
2.945000e+00	3.140000e+00	8.680000e-02	1.248598e-02	1.520492e-02
3.140000e+00	3.340000e+00	8.720000e-02	1.247553e-02	1.519634e-02
3.340000e+00	3.535000e+00	8.420000e-02	1.131599e-02	1.380749e-02
3.535000e+00	3.730000e+00	7.170000e-02	9.399431e-03	1.127576e-02
3.730000e+00	3.975000e+00	6.790000e-02	7.215158e-03	8.319681e-03
3.975000e+00	4.320000e+00	5.010000e-02	3.909194e-03	4.019963e-03
4.320000e+00	4.701200e+00	2.780000e-02	5.348102e-03	4.980090e-03
# END HISTO1D


# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d57-x01-y07
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d57-x01-y07
ScaledBy=inf
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	nan	nan	nan
-1.275000e+00	-9.800000e-01	nan	nan	nan
-9.800000e-01	-6.850000e-01	nan	nan	nan
-6.850000e-01	-4.150000e-01	nan	nan	nan
-4.150000e-01	-2.200000e-01	nan	nan	nan
-2.200000e-01	-1.000000e-01	nan	nan	nan
-1.000000e-01	0.000000e+00	nan	nan	nan
0.000000e+00	1.000000e-01	nan	nan	nan
1.000000e-01	2.200000e-01	nan	nan	nan
2.200000e-01	4.150000e-01	nan	nan	nan
4.150000e-01	6.850000e-01	nan	nan	nan
6.850000e-01	9.800000e-01	nan	nan	nan
9.800000e-01	1.275000e+00	nan	nan	nan
1.275000e+00	1.595000e+00	nan	nan	nan
1.595000e+00	1.965000e+00	nan	nan	nan
1.965000e+00	2.305000e+00	nan	nan	nan
2.305000e+00	2.550000e+00	nan	nan	nan
2.550000e+00	2.750000e+00	nan	nan	nan
2.750000e+00	2.945000e+00	nan	nan	nan
2.945000e+00	3.140000e+00	nan	nan	nan
3.140000e+00	3.340000e+00	nan	nan	nan
3.340000e+00	3.535000e+00	nan	nan	nan
3.535000e+00	3.730000e+00	nan	nan	nan
3.730000e+00	3.975000e+00	nan	nan	nan
3.975000e+00	4.320000e+00	nan	nan	nan
4.320000e+00	4.701200e+00	nan	nan	nan
# END HISTO1D

