# BEGIN PLOT
Legend=1
LogY=1
Title=[Figure 38, p + p, 2-3 $\otimes$ 0.4-1 GeV/c]
XLabel=[$\Delta\phi$ (rad)]
YLabel=[Per-trigger yield]
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y01
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y01
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y01
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y01
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	1.514971e+07	2.708460e+05	2.708460e+05
-1.275000e+00	-9.800000e-01	1.530951e+07	2.584796e+05	2.584796e+05
-9.800000e-01	-6.850000e-01	1.475455e+07	2.537402e+05	2.537402e+05
-6.850000e-01	-4.150000e-01	1.469944e+07	2.646394e+05	2.646394e+05
-4.150000e-01	-2.200000e-01	1.520600e+07	3.166228e+05	3.166228e+05
-2.200000e-01	-1.000000e-01	1.515656e+07	4.039080e+05	4.039080e+05
-1.000000e-01	0.000000e+00	1.466887e+07	4.351366e+05	4.351366e+05
0.000000e+00	1.000000e-01	1.561678e+07	4.488710e+05	4.488710e+05
1.000000e-01	2.200000e-01	1.503148e+07	4.016710e+05	4.016710e+05
2.200000e-01	4.150000e-01	1.493329e+07	3.141927e+05	3.141927e+05
4.150000e-01	6.850000e-01	1.507001e+07	2.682817e+05	2.682817e+05
6.850000e-01	9.800000e-01	1.509893e+07	2.567303e+05	2.567303e+05
9.800000e-01	1.275000e+00	1.495031e+07	2.554828e+05	2.554828e+05
1.275000e+00	1.595000e+00	1.543066e+07	2.491980e+05	2.491980e+05
1.595000e+00	1.965000e+00	1.537324e+07	2.312157e+05	2.312157e+05
1.965000e+00	2.305000e+00	1.561168e+07	2.432955e+05	2.432955e+05
2.305000e+00	2.550000e+00	1.507376e+07	2.815084e+05	2.815084e+05
2.550000e+00	2.750000e+00	1.503796e+07	3.109389e+05	3.109389e+05
2.750000e+00	2.945000e+00	1.472383e+07	3.118058e+05	3.118058e+05
2.945000e+00	3.140000e+00	1.490022e+07	3.131329e+05	3.131329e+05
3.140000e+00	3.340000e+00	1.535713e+07	3.142574e+05	3.142574e+05
3.340000e+00	3.535000e+00	1.541317e+07	3.189326e+05	3.189326e+05
3.535000e+00	3.730000e+00	1.475301e+07	3.126408e+05	3.126408e+05
3.730000e+00	3.975000e+00	1.499366e+07	2.809615e+05	2.809615e+05
3.975000e+00	4.320000e+00	1.485552e+07	2.353031e+05	2.353031e+05
4.320000e+00	4.701200e+00	1.544519e+07	2.284534e+05	2.284534e+05
# END HISTO1D

