# BEGIN PLOT
Legend=1
LogY=1
Title=[Figure 38, p + p, 3-4 $\otimes$ 0.4-1 GeV/c]
XLabel=[$\Delta\phi$ (rad)]
YLabel=[Per-trigger yield]
DrawOnly=/PHENIX_2008_I778396/d58-x01-y02 //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y02
LegendOnly=/PHENIX_2008_I778396/d58-x01-y02 //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y02
RatioPlot=1
RatioPlotReference=/PHENIX_2008_I778396/d58-x01-y02
# END PLOT

# BEGIN HISTO1D /PHENIX_2008_I778396/d58-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2008_I778396/d58-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	8.280000e-04	5.010000e-04	5.010000e-04
-1.275000e+00	-9.800000e-01	-4.240000e-04	4.150000e-04	4.150000e-04
-9.800000e-01	-6.850000e-01	4.080000e-03	3.800000e-04	3.800000e-04
-6.850000e-01	-4.150000e-01	2.070000e-02	4.010000e-04	4.010000e-04
-4.150000e-01	-2.200000e-01	4.870000e-02	5.370000e-04	5.370000e-04
-2.200000e-01	-1.000000e-01	6.040000e-02	7.650000e-04	7.650000e-04
-1.000000e-01	0.000000e+00	6.210000e-02	7.630000e-04	7.630000e-04
0.000000e+00	1.000000e-01	6.190000e-02	7.650000e-04	7.650000e-04
1.000000e-01	2.200000e-01	6.050000e-02	7.690000e-04	7.690000e-04
2.200000e-01	4.150000e-01	4.790000e-02	5.310000e-04	5.310000e-04
4.150000e-01	6.850000e-01	2.040000e-02	4.020000e-04	4.020000e-04
6.850000e-01	9.800000e-01	4.960000e-03	3.860000e-04	3.860000e-04
9.800000e-01	1.275000e+00	-3.780000e-04	4.140000e-04	4.140000e-04
1.275000e+00	1.595000e+00	7.080000e-04	5.000000e-04	5.000000e-04
1.595000e+00	1.965000e+00	4.700000e-03	4.400000e-04	4.400000e-04
1.965000e+00	2.305000e+00	1.140000e-02	3.860000e-04	3.860000e-04
2.305000e+00	2.550000e+00	1.860000e-02	5.130000e-04	5.130000e-04
2.550000e+00	2.750000e+00	2.290000e-02	4.990000e-04	4.990000e-04
2.750000e+00	2.945000e+00	2.770000e-02	5.000000e-04	5.000000e-04
2.945000e+00	3.140000e+00	3.120000e-02	5.070000e-04	5.070000e-04
