# BEGIN PLOT
Legend=1
LogY=1
Title=[Figure 38, p + p, 4-5 $\otimes$ 0.4-1 GeV/c]
XLabel=[$\Delta\phi$ (rad)]
YLabel=[Per-trigger yield]
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y03
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y03
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y03
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y03
ScaledBy=1.01359504828322757e-04
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	1.890766e+00	8.204960e-01	8.204960e-01
-1.275000e+00	-9.800000e-01	7.335034e-01	3.183030e-01	3.183030e-01
-9.800000e-01	-6.850000e-01	6.378641e+00	2.647473e+00	2.647473e+00
-6.850000e-01	-4.150000e-01	6.473381e+00	2.708901e+00	2.708901e+00
-4.150000e-01	-2.200000e-01	1.012890e+01	4.280243e+00	4.280243e+00
-2.200000e-01	-1.000000e-01	4.308750e+00	2.049219e+00	2.049219e+00
-1.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	1.000000e-01	9.361713e+00	4.333631e+00	4.333631e+00
1.000000e-01	2.200000e-01	5.229085e+00	2.451433e+00	2.451433e+00
2.200000e-01	4.150000e-01	1.036866e+01	4.381557e+00	4.381557e+00
4.150000e-01	6.850000e-01	4.971652e+00	2.093649e+00	2.093649e+00
6.850000e-01	9.800000e-01	8.904817e+00	3.648336e+00	3.648336e+00
9.800000e-01	1.275000e+00	5.694844e+00	2.369768e+00	2.369768e+00
1.275000e+00	1.595000e+00	6.323925e+00	2.606533e+00	2.606533e+00
1.595000e+00	1.965000e+00	3.891703e+00	1.607584e+00	1.607584e+00
1.965000e+00	2.305000e+00	7.033812e+00	2.876540e+00	2.876540e+00
2.305000e+00	2.550000e+00	1.228024e+01	5.040859e+00	5.040859e+00
2.550000e+00	2.750000e+00	6.533625e+00	2.820344e+00	2.820344e+00
2.750000e+00	2.945000e+00	5.446615e+00	2.377099e+00	2.377099e+00
2.945000e+00	3.140000e+00	1.898902e+00	8.605130e-01	8.605130e-01
3.140000e+00	3.340000e+00	4.946576e+00	2.158863e+00	2.158863e+00
3.340000e+00	3.535000e+00	5.106910e+00	2.228839e+00	2.228839e+00
3.535000e+00	3.730000e+00	5.958559e+00	2.585710e+00	2.585710e+00
3.730000e+00	3.975000e+00	7.698478e+00	3.221564e+00	3.221564e+00
3.975000e+00	4.320000e+00	8.638003e+00	3.504477e+00	3.504477e+00
4.320000e+00	4.701200e+00	2.916039e+00	1.207355e+00	1.207355e+00
# END HISTO1D

