# BEGIN PLOT
Legend=1
LogY=1
Title=[Figure 38, p + p, 2-3 $\otimes$ 1-2 GeV/c]
XLabel=[$\Delta\phi$ (rad)]
YLabel=[Per-trigger yield]
DrawOnly=/PHENIX_2008_I778396/d58-x01-y05 //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y05
LegendOnly=/PHENIX_2008_I778396/d58-x01-y05 //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y05
RatioPlot=1
RatioPlotReference=/PHENIX_2008_I778396/d58-x01-y05
# END PLOT

# BEGIN HISTO1D /PHENIX_2008_I778396/d58-x01-y05
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2008_I778396/d58-x01-y05
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	4.180000e-06	2.200000e-05	2.200000e-05
-1.275000e+00	-9.800000e-01	-1.580000e-05	1.500000e-05	1.500000e-05
-9.800000e-01	-6.850000e-01	2.520000e-05	1.720000e-05	1.720000e-05
-6.850000e-01	-4.150000e-01	6.810000e-05	1.860000e-05	1.860000e-05
-4.150000e-01	-2.200000e-01	5.330000e-04	4.150000e-05	4.150000e-05
-2.200000e-01	-1.000000e-01	1.040000e-03	7.500000e-05	7.500000e-05
-1.000000e-01	0.000000e+00	1.300000e-03	8.000000e-05	8.000000e-05
0.000000e+00	1.000000e-01	1.090000e-03	7.250000e-05	7.250000e-05
1.000000e-01	2.200000e-01	9.200000e-04	7.020000e-05	7.020000e-05
2.200000e-01	4.150000e-01	4.940000e-04	4.060000e-05	4.060000e-05
4.150000e-01	6.850000e-01	1.120000e-04	2.150000e-05	2.150000e-05
6.850000e-01	9.800000e-01	2.060000e-05	1.670000e-05	1.670000e-05
9.800000e-01	1.275000e+00	-1.160000e-05	1.560000e-05	1.560000e-05
1.275000e+00	1.595000e+00	2.050000e-06	2.140000e-05	2.140000e-05
1.595000e+00	1.965000e+00	2.190000e-05	1.960000e-05	1.960000e-05
1.965000e+00	2.305000e+00	1.010000e-04	2.140000e-05	2.140000e-05
2.305000e+00	2.550000e+00	1.920000e-04	3.250000e-05	3.250000e-05
2.550000e+00	2.750000e+00	2.530000e-04	3.370000e-05	3.370000e-05
2.750000e+00	2.945000e+00	4.330000e-04	4.060000e-05	4.060000e-05
2.945000e+00	3.140000e+00	4.460000e-04	4.050000e-05	4.050000e-05
3.140000e+00	3.340000e+00	4.900000e-04	4.230000e-05	4.230000e-05
3.340000e+00	3.535000e+00	4.230000e-04	4.030000e-05	4.030000e-05
3.535000e+00	3.730000e+00	2.410000e-04	3.320000e-05	3.320000e-05
3.730000e+00	3.975000e+00	1.040000e-04	2.670000e-05	2.670000e-05
3.975000e+00	4.320000e+00	8.450000e-05	2.060000e-05	2.060000e-05
4.320000e+00	4.701200e+00	2.650000e-05	2.060000e-05	2.060000e-05
# END HISTO1D


# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y05
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y05
ScaledBy=1.27610887373787629e-06
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	4.399688e-01	2.133008e-01	2.133008e-01
-1.275000e+00	-9.800000e-01	2.779455e-01	2.061716e-01	2.061716e-01
-9.800000e-01	-6.850000e-01	3.159891e-01	2.068486e-01	2.068486e-01
-6.850000e-01	-4.150000e-01	4.088496e-01	2.121496e-01	2.121496e-01
-4.150000e-01	-2.200000e-01	6.224467e-01	2.340627e-01	2.340627e-01
-2.200000e-01	-1.000000e-01	2.489917e-01	2.617157e-01	2.617157e-01
-1.000000e-01	0.000000e+00	1.353052e-01	2.748756e-01	2.748756e-01
0.000000e+00	1.000000e-01	5.413818e-01	2.866275e-01	2.866275e-01
1.000000e-01	2.200000e-01	6.502984e-01	2.725438e-01	2.725438e-01
2.200000e-01	4.150000e-01	3.291018e-01	2.287374e-01	2.287374e-01
4.150000e-01	6.850000e-01	2.791956e-01	2.103567e-01	2.103567e-01
6.850000e-01	9.800000e-01	2.636121e-01	2.061761e-01	2.061761e-01
9.800000e-01	1.275000e+00	3.312173e-01	2.069503e-01	2.069503e-01
1.275000e+00	1.595000e+00	5.767231e-02	2.000389e-01	2.000389e-01
