# BEGIN PLOT
Legend=1
LogY=1
Title=[Figure 38, p + p, 3-4 $\otimes$ 2-3 GeV/c]
XLabel=[$\Delta\phi$ (rad)]
YLabel=[Per-trigger yield]
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y10
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y10
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y10
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y10
ScaledBy=1.16314185868567107e-05
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	8.645376e-02	9.982819e-02	9.982819e-02
-1.275000e+00	-9.800000e-01	2.974612e-02	3.643141e-02	3.643141e-02
-9.800000e-01	-6.850000e-01	1.856292e-01	2.033466e-01	2.033466e-01
-6.850000e-01	-4.150000e-01	8.670893e-02	1.001229e-01	1.001229e-01
-4.150000e-01	-2.200000e-01	2.279792e-01	2.548886e-01	2.548886e-01
-2.200000e-01	-1.000000e-01	2.860390e-01	3.302894e-01	3.302894e-01
-1.000000e-01	0.000000e+00	7.374463e-02	1.042907e-01	1.042907e-01
0.000000e+00	1.000000e-01	3.610291e-01	4.168804e-01	4.168804e-01
1.000000e-01	2.200000e-01	1.625245e-01	1.990510e-01	1.990510e-01
2.200000e-01	4.150000e-01	2.932106e-01	3.211961e-01	3.211961e-01
4.150000e-01	6.850000e-01	4.002185e-02	4.901657e-02	4.901657e-02
6.850000e-01	9.800000e-01	2.224252e-01	2.402466e-01	2.402466e-01
9.800000e-01	1.275000e+00	1.816515e-01	1.989892e-01	1.989892e-01
1.275000e+00	1.595000e+00	1.579331e-01	1.730070e-01	1.730070e-01
1.595000e+00	1.965000e+00	2.118831e-01	2.265126e-01	2.265126e-01
1.965000e+00	2.305000e+00	9.496112e-02	1.061697e-01	1.061697e-01
2.305000e+00	2.550000e+00	3.404252e-01	3.639299e-01	3.639299e-01
2.550000e+00	2.750000e+00	2.207212e-01	2.467739e-01	2.467739e-01
2.750000e+00	2.945000e+00	4.597921e-03	6.502443e-03	6.502443e-03
2.945000e+00	3.140000e+00	2.417339e-01	2.702667e-01	2.702667e-01
3.140000e+00	3.340000e+00	2.244174e-01	2.509063e-01	2.509063e-01
3.340000e+00	3.535000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.535000e+00	3.730000e+00	1.497497e-01	1.729161e-01	1.729161e-01
3.730000e+00	3.975000e+00	5.237898e-02	6.415088e-02	6.415088e-02
3.975000e+00	4.320000e+00	1.065885e-01	1.191696e-01	1.191696e-01
4.320000e+00	4.701200e+00	2.777159e-01	2.927383e-01	2.927383e-01
# END HISTO1D

