# BEGIN PLOT
Legend=1
LogY=1
Title=[Figure 38, p + p, 2-3 $\otimes$ 3-4 GeV/c]
XLabel=[$\Delta\phi$ (rad)]
YLabel=[Per-trigger yield]
DrawOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y13
LegendOnly=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y13
# END PLOT

# BEGIN HISTO1D //lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y13
LineColor=red
LineStyle=solid
Path=//lustre/haven/proj/UTK0019/nbauer1/RIVETAnalyses/08014545/Rivet.yoda/PHENIX_2008_I778396:beam=AUAU:cent=GEN/d58-x01-y13
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
-1.540800e+00	-1.275000e+00	1.903546e+04	9.527510e+03	9.527510e+03
-1.275000e+00	-9.800000e-01	2.185140e+04	9.808957e+03	9.808957e+03
-9.800000e-01	-6.850000e-01	2.535688e+04	1.036006e+04	1.036006e+04
-6.850000e-01	-4.150000e-01	9.674930e+03	6.859308e+03	6.859308e+03
-4.150000e-01	-2.200000e-01	3.144258e+04	1.406297e+04	1.406297e+04
-2.200000e-01	-1.000000e-01	2.020698e+04	1.428849e+04	1.428849e+04
-1.000000e-01	0.000000e+00	3.727322e+04	2.152498e+04	2.152498e+04
0.000000e+00	1.000000e-01	1.257421e+04	1.257421e+04	1.257421e+04
1.000000e-01	2.200000e-01	3.082602e+04	1.779904e+04	1.779904e+04
2.200000e-01	4.150000e-01	2.583438e+04	1.292934e+04	1.292934e+04
4.150000e-01	6.850000e-01	1.368881e+04	7.903931e+03	7.903931e+03
6.850000e-01	9.800000e-01	2.219338e+04	9.983712e+03	9.983712e+03
9.800000e-01	1.275000e+00	8.791481e+03	6.216624e+03	6.216624e+03
1.275000e+00	1.595000e+00	1.578242e+04	7.911042e+03	7.911042e+03
1.595000e+00	1.965000e+00	3.102189e+04	1.034787e+04	1.034787e+04
1.965000e+00	2.305000e+00	1.562438e+04	7.870528e+03	7.870528e+03
2.305000e+00	2.550000e+00	1.073732e+04	7.599822e+03	7.599822e+03
2.550000e+00	2.750000e+00	1.863096e+04	1.076377e+04	1.076377e+04
2.750000e+00	2.945000e+00	6.234087e+03	6.234090e+03	6.234090e+03
2.945000e+00	3.140000e+00	2.618272e+04	1.313178e+04	1.313178e+04
3.140000e+00	3.340000e+00	2.634151e+04	1.320883e+04	1.320883e+04
3.340000e+00	3.535000e+00	6.629390e+03	6.629391e+03	6.629391e+03
3.535000e+00	3.730000e+00	2.585681e+04	1.294344e+04	1.294344e+04
3.730000e+00	3.975000e+00	3.550182e+04	1.342770e+04	1.342770e+04
3.975000e+00	4.320000e+00	1.418961e+04	7.095700e+03	7.095700e+03
4.320000e+00	4.701200e+00	2.709074e+04	9.586594e+03	9.586594e+03
# END HISTO1D

