# BEGIN PLOT
LegendOnly=//home/jacob/Desktop/Work/RIVETAnalyses/1006.1347/Rivet.yoda/PHENIX_2010_I857187:cent=GEN/d01-x01-y02
DrawOnly=//home/jacob/Desktop/Work/RIVETAnalyses/1006.1347/Rivet.yoda/PHENIX_2010_I857187:cent=GEN/d01-x01-y02
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/jacob/Desktop/Work/RIVETAnalyses/1006.1347/Rivet.yoda/PHENIX_2010_I857187:cent=GEN/d01-x01-y02
LineColor=red
LineStyle=solid
Path=//home/jacob/Desktop/Work/RIVETAnalyses/1006.1347/Rivet.yoda/PHENIX_2010_I857187:cent=GEN/d01-x01-y02
ScaledBy=7.77604976671850698e-04
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.500000e-01	5.209954e-01	6.364970e-02	6.364970e-02
2.500000e-01	3.000000e-01	5.132192e-01	6.317293e-02	6.317293e-02
3.000000e-01	3.500000e-01	5.054432e-01	6.269252e-02	6.269252e-02
3.500000e-01	4.000000e-01	4.432348e-01	5.870789e-02	5.870789e-02
4.000000e-01	4.500000e-01	4.199066e-01	5.714206e-02	5.714206e-02
4.500000e-01	5.000000e-01	3.888024e-01	5.498498e-02	5.498498e-02
5.000000e-01	6.000000e-01	3.304821e-01	3.584582e-02	3.584582e-02
6.000000e-01	7.000000e-01	2.371695e-01	3.036645e-02	3.036645e-02
7.000000e-01	8.000000e-01	2.255054e-01	2.961032e-02	2.961032e-02
8.000000e-01	9.500000e-01	2.151374e-01	2.361439e-02	2.361439e-02
9.500000e-01	1.200000e+00	1.866252e-01	1.703647e-02	1.703647e-02
1.200000e+00	1.300000e+00	2.332815e-01	3.011651e-02	3.011651e-02
# END HISTO1D

