# BEGIN PLOT
Legend=1
LogY=1
Title=$\langle $d$E_{\mathrm T}/$d$\eta \rangle$ versus centrality  at midrapidity calculated from the tracking detectors,.  
XLabel=centrality
YLabel=$\langle$d$E_{T}$/d$\eta \rangle$
DrawOnly=/ALICE_2016_I1427723/d01-x01-y02 //lustre/isaac/proj/UTK0019/Ifti/RIVETAnalyses/ALICE_2016_I1427723/Rivet.yoda/ALICE_2016_I1427723:beam=AUAU:cent=GEN/d01-x01-y02
LegendOnly=/ALICE_2016_I1427723/d01-x01-y02 //lustre/isaac/proj/UTK0019/Ifti/RIVETAnalyses/ALICE_2016_I1427723/Rivet.yoda/ALICE_2016_I1427723:beam=AUAU:cent=GEN/d01-x01-y02
RatioPlot=1
RatioPlotReference=/ALICE_2016_I1427723/d01-x01-y02
# END PLOT

# BEGIN HISTO1D /ALICE_2016_I1427723/d01-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2016_I1427723/d01-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+00	1.803000e+03	1.094578e+02	1.094578e+02
2.500000e+00	5.000000e+00	1.647000e+03	9.940825e+01	9.940825e+01
5.000000e+00	7.500000e+00	1.499000e+03	9.035486e+01	9.035486e+01
7.500000e+00	1.000000e+01	1.357000e+03	8.238932e+01	8.238932e+01
1.000000e+01	1.250000e+01	1.235000e+03	7.433034e+01	7.433034e+01
1.250000e+01	1.500000e+01	1.118000e+03	6.726812e+01	6.726812e+01
1.500000e+01	1.750000e+01	1.033000e+03	6.220129e+01	6.220129e+01
1.750000e+01	2.000000e+01	9.420000e+02	5.721888e+01	5.721888e+01
2.000000e+01	2.250000e+01	8.470000e+02	5.124451e+01	5.124451e+01
2.250000e+01	2.500000e+01	7.730000e+02	4.716991e+01	4.716991e+01
2.500000e+01	2.750000e+01	6.830000e+02	4.119466e+01	4.119466e+01
2.750000e+01	3.000000e+01	6.020000e+02	3.622154e+01	3.622154e+01
3.000000e+01	3.250000e+01	5.440000e+02	3.313608e+01	3.313608e+01
3.250000e+01	3.500000e+01	4.940000e+02	3.014963e+01	3.014963e+01
3.500000e+01	3.750000e+01	4.350000e+02	2.617250e+01	2.617250e+01
3.750000e+01	4.000000e+01	3.850000e+02	2.408319e+01	2.408319e+01
4.000000e+01	4.500000e+01	3.220000e+02	2.002498e+01	2.002498e+01
4.500000e+01	5.000000e+01	2.460000e+02	1.503330e+01	1.503330e+01
5.000000e+01	5.500000e+01	1.800000e+02	1.104536e+01	1.104536e+01
5.500000e+01	6.000000e+01	1.332000e+02	8.521150e+00	8.521150e+00
6.000000e+01	6.500000e+01	9.370000e+01	6.120457e+00	6.120457e+00
6.500000e+01	7.000000e+01	6.510000e+01	4.418144e+00	4.418144e+00
7.000000e+01	7.500000e+01	4.360000e+01	3.014963e+00	3.014963e+00
7.500000e+01	8.000000e+01	2.840000e+01	2.009975e+00	2.009975e+00
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/Ifti/RIVETAnalyses/ALICE_2016_I1427723/Rivet.yoda/ALICE_2016_I1427723:beam=AUAU:cent=GEN/d01-x01-y02
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/Ifti/RIVETAnalyses/ALICE_2016_I1427723/Rivet.yoda/ALICE_2016_I1427723:beam=AUAU:cent=GEN/d01-x01-y02
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+00	nan	nan	nan
2.500000e+00	5.000000e+00	nan	nan	nan
5.000000e+00	7.500000e+00	nan	nan	nan
7.500000e+00	1.000000e+01	nan	nan	nan
1.000000e+01	1.250000e+01	nan	nan	nan
1.250000e+01	1.500000e+01	nan	nan	nan
1.500000e+01	1.750000e+01	nan	nan	nan
1.750000e+01	2.000000e+01	nan	nan	nan
2.000000e+01	2.250000e+01	nan	nan	nan
2.250000e+01	2.500000e+01	nan	nan	nan
2.500000e+01	2.750000e+01	nan	nan	nan
2.750000e+01	3.000000e+01	nan	nan	nan
3.000000e+01	3.250000e+01	nan	nan	nan
3.250000e+01	3.500000e+01	nan	nan	nan
3.500000e+01	3.750000e+01	nan	nan	nan
3.750000e+01	4.000000e+01	nan	nan	nan
4.000000e+01	4.500000e+01	nan	nan	nan
4.500000e+01	5.000000e+01	nan	nan	nan
5.000000e+01	5.500000e+01	4.208023e+02	1.150090e+03	1.150090e+03
5.500000e+01	6.000000e+01	nan	nan	nan
6.000000e+01	6.500000e+01	nan	nan	nan
6.500000e+01	7.000000e+01	nan	nan	nan
7.000000e+01	7.500000e+01	nan	nan	nan
7.500000e+01	8.000000e+01	1.542426e+02	nan	nan
# END HISTO1D

