# BEGIN PLOT
Legend=1
LogY=0 
Title=$\langle $d$E_{\mathrm T}/$d$\eta \rangle / (\langle N_{\mathrm{part}}/2\rangle)$ versus centrality at midrapidity calculated from the tracking detectors,.  
XLabel=centrality}
YLabel=$\langle$d$E_{\mathrm T}/$d$\eta\rangle/\langle N_{\mathrm{part}}/2 \rangle$
FullRange=0
DrawOnly=/ALICE_2016_I1427723/d01-x01-y03 //lustre/isaac/proj/UTK0019/Ifti/RIVETAnalyses/ALICE_2016_I1427723/Rivet.yoda/ALICE_2016_I1427723:beam=AUAU:cent=GEN/d01-x01-y03
LegendOnly=/ALICE_2016_I1427723/d01-x01-y03 //lustre/isaac/proj/UTK0019/Ifti/RIVETAnalyses/ALICE_2016_I1427723/Rivet.yoda/ALICE_2016_I1427723:beam=AUAU:cent=GEN/d01-x01-y03
RatioPlot=1
RatioPlotReference=/ALICE_2016_I1427723/d01-x01-y03
# END PLOT

# BEGIN HISTO1D /ALICE_2016_I1427723/d01-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2016_I1427723/d01-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+00	9.100000e+00	5.522681e-01	5.522681e-01
2.500000e+00	5.000000e+00	8.920000e+00	5.423099e-01	5.423099e-01
5.000000e+00	7.500000e+00	8.760000e+00	5.323533e-01	5.323533e-01
7.500000e+00	1.000000e+01	8.570000e+00	5.223983e-01	5.223983e-01
1.000000e+01	1.250000e+01	8.440000e+00	5.124451e-01	5.124451e-01
1.250000e+01	1.500000e+01	8.290000e+00	5.024938e-01	5.024938e-01
1.500000e+01	1.750000e+01	8.300000e+00	5.015974e-01	5.015974e-01
1.750000e+01	2.000000e+01	8.210000e+00	5.015974e-01	5.015974e-01
2.000000e+01	2.250000e+01	8.030000e+00	4.825971e-01	4.825971e-01
2.250000e+01	2.500000e+01	7.990000e+00	4.816638e-01	4.816638e-01
2.500000e+01	2.750000e+01	7.720000e+00	4.716991e-01	4.716991e-01
2.750000e+01	3.000000e+01	7.430000e+00	4.517743e-01	4.517743e-01
3.000000e+01	3.250000e+01	7.370000e+00	4.517743e-01	4.517743e-01
3.250000e+01	3.500000e+01	7.350000e+00	4.517743e-01	4.517743e-01
3.500000e+01	3.750000e+01	7.130000e+00	4.318565e-01	4.318565e-01
3.750000e+01	4.000000e+01	6.990000e+00	4.328972e-01	4.328972e-01
4.000000e+01	4.500000e+01	6.830000e+00	4.210701e-01	4.210701e-01
4.500000e+01	5.000000e+01	6.540000e+00	4.110961e-01	4.110961e-01
5.000000e+01	5.500000e+01	6.080000e+00	3.811824e-01	3.811824e-01
5.500000e+01	6.000000e+01	5.840000e+00	3.712142e-01	3.712142e-01
6.000000e+01	6.500000e+01	5.460000e+00	3.612478e-01	3.612478e-01
6.500000e+01	7.000000e+01	5.160000e+00	3.512834e-01	3.512834e-01
7.000000e+01	7.500000e+01	4.860000e+00	3.313608e-01	3.313608e-01
7.500000e+01	8.000000e+01	4.520000e+00	3.214032e-01	3.214032e-01
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/Ifti/RIVETAnalyses/ALICE_2016_I1427723/Rivet.yoda/ALICE_2016_I1427723:beam=AUAU:cent=GEN/d01-x01-y03
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/Ifti/RIVETAnalyses/ALICE_2016_I1427723/Rivet.yoda/ALICE_2016_I1427723:beam=AUAU:cent=GEN/d01-x01-y03
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.500000e+00	nan	nan	nan
2.500000e+00	5.000000e+00	nan	nan	nan
5.000000e+00	7.500000e+00	nan	nan	nan
7.500000e+00	1.000000e+01	nan	nan	nan
1.000000e+01	1.250000e+01	nan	nan	nan
1.250000e+01	1.500000e+01	nan	nan	nan
1.500000e+01	1.750000e+01	nan	nan	nan
1.750000e+01	2.000000e+01	nan	nan	nan
2.000000e+01	2.250000e+01	nan	nan	nan
2.250000e+01	2.500000e+01	nan	nan	nan
2.500000e+01	2.750000e+01	nan	nan	nan
2.750000e+01	3.000000e+01	nan	nan	nan
3.000000e+01	3.250000e+01	nan	nan	nan
3.250000e+01	3.500000e+01	nan	nan	nan
3.500000e+01	3.750000e+01	nan	nan	nan
3.750000e+01	4.000000e+01	nan	nan	nan
4.000000e+01	4.500000e+01	nan	nan	nan
4.500000e+01	5.000000e+01	nan	nan	nan
5.000000e+01	5.500000e+01	1.420670e+01	2.019882e+01	2.019882e+01
5.500000e+01	6.000000e+01	nan	nan	nan
6.000000e+01	6.500000e+01	nan	nan	nan
6.500000e+01	7.000000e+01	nan	nan	nan
7.000000e+01	7.500000e+01	nan	nan	nan
7.500000e+01	8.000000e+01	2.452188e+01	nan	nan
# END HISTO1D

