# BEGIN PLOT
Legend=1
LogY=1
Title=[Insert title for histogram d01-x01-y01 here]
XLabel=$p^{ch\,jet}_{T}$(GeV/c)
YLabel=$d^2 \sigma^{ch\,jet}/dp_{T}d\eta$ (mb c/GeV)
RatioPlotYMax=1.5
DrawOnly=/ALICE_2019_I1693308/d01-x01-y01 //afs/cern.ch/user/j/jpiel/Rivet/RIVETAnalyses/ALICE_2019_I1693308/Rivet.yoda/ALICE_2019_I1693308/d01-x01-y01
LegendOnly=/ALICE_2019_I1693308/d01-x01-y01 //afs/cern.ch/user/j/jpiel/Rivet/RIVETAnalyses/ALICE_2019_I1693308/Rivet.yoda/ALICE_2019_I1693308/d01-x01-y01
RatioPlot=1
RatioPlotReference=/ALICE_2019_I1693308/d01-x01-y01
# END PLOT

# BEGIN HISTO1D /ALICE_2019_I1693308/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2019_I1693308/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+00	6.000000e+00	5.597040e-01	4.845468e-02	4.845468e-02
6.000000e+00	7.000000e+00	2.825280e-01	2.509820e-02	2.509820e-02
7.000000e+00	8.000000e+00	1.556010e-01	1.428628e-02	1.428628e-02
8.000000e+00	9.000000e+00	9.207800e-02	8.708737e-03	8.708737e-03
9.000000e+00	1.000000e+01	5.754120e-02	5.579163e-03	5.579163e-03
1.000000e+01	1.200000e+01	3.165930e-02	3.164288e-03	3.164288e-03
1.200000e+01	1.400000e+01	1.534270e-02	1.583599e-03	1.583599e-03
1.400000e+01	1.600000e+01	8.434680e-03	8.931408e-04	8.931408e-04
1.600000e+01	1.800000e+01	4.882510e-03	5.280486e-04	5.280486e-04
1.800000e+01	2.000000e+01	3.092270e-03	3.404878e-04	3.404878e-04
2.000000e+01	2.400000e+01	1.613010e-03	1.812445e-04	1.812445e-04
2.400000e+01	2.800000e+01	7.595430e-04	8.745332e-05	8.745332e-05
2.800000e+01	3.200000e+01	3.915450e-04	4.606590e-05	4.606590e-05
3.200000e+01	3.800000e+01	2.027140e-04	2.431550e-05	2.431550e-05
3.800000e+01	4.400000e+01	9.118960e-05	1.127104e-05	1.127104e-05
4.400000e+01	5.000000e+01	5.341160e-05	6.804308e-06	6.804308e-06
5.000000e+01	5.800000e+01	2.503300e-05	3.289828e-06	3.289828e-06
5.800000e+01	6.600000e+01	1.241240e-05	1.742721e-06	1.742721e-06
6.600000e+01	7.600000e+01	5.736790e-06	8.684149e-07	8.684149e-07
7.600000e+01	8.600000e+01	2.871890e-06	4.931462e-07	4.931462e-07
8.600000e+01	9.900000e+01	1.423100e-06	2.718779e-07	2.718779e-07
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/j/jpiel/Rivet/RIVETAnalyses/ALICE_2019_I1693308/Rivet.yoda/ALICE_2019_I1693308/d01-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/j/jpiel/Rivet/RIVETAnalyses/ALICE_2019_I1693308/Rivet.yoda/ALICE_2019_I1693308/d01-x01-y01
ScaledBy=7.10648299342409506e-04
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e+00	6.000000e+00	8.854678e-01	2.508498e-02	2.508498e-02
6.000000e+00	7.000000e+00	4.469978e-01	1.782297e-02	1.782297e-02
7.000000e+00	8.000000e+00	2.401991e-01	1.306511e-02	1.306511e-02
8.000000e+00	9.000000e+00	1.705556e-01	1.100931e-02	1.100931e-02
9.000000e+00	1.000000e+01	8.598844e-02	7.817131e-03	7.817131e-03
1.000000e+01	1.200000e+01	5.898380e-02	4.578032e-03	4.578032e-03
1.200000e+01	1.400000e+01	2.842593e-02	3.178116e-03	3.178116e-03
1.400000e+01	1.600000e+01	1.598959e-02	2.383587e-03	2.383587e-03
1.600000e+01	1.800000e+01	8.527780e-03	1.740725e-03	1.740725e-03
1.800000e+01	2.000000e+01	3.197917e-03	1.065972e-03	1.065972e-03
2.000000e+01	2.400000e+01	2.309607e-03	6.405697e-04	6.405697e-04
2.400000e+01	2.800000e+01	8.883102e-04	3.972645e-04	3.972645e-04
2.800000e+01	3.200000e+01	5.329863e-04	3.077197e-04	3.077197e-04
3.200000e+01	3.800000e+01	4.737655e-04	2.368828e-04	2.368828e-04
3.800000e+01	4.400000e+01	2.368828e-04	1.675014e-04	1.675014e-04
4.400000e+01	5.000000e+01	1.184414e-04	1.184414e-04	1.184414e-04
5.000000e+01	5.800000e+01	2.664931e-04	1.538599e-04	1.538599e-04
5.800000e+01	6.600000e+01	8.883104e-05	8.883104e-05	8.883104e-05
6.600000e+01	7.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+01	8.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+01	9.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

