# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=/ALICE_2019_I1693308/d03-x01-y01 //afs/cern.ch/user/j/jpiel/Rivet/RIVETAnalyses/ALICE_2019_I1693308/Rivet.yoda/ALICE_2019_I1693308/d03-x01-y01
LegendOnly=/ALICE_2019_I1693308/d03-x01-y01 //afs/cern.ch/user/j/jpiel/Rivet/RIVETAnalyses/ALICE_2019_I1693308/Rivet.yoda/ALICE_2019_I1693308/d03-x01-y01
RatioPlot=1
RatioPlotReference=/ALICE_2019_I1693308/d03-x01-y01
# END PLOT

# BEGIN HISTO1D /ALICE_2019_I1693308/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ALICE_2019_I1693308/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.966620e+01	1.001374e+00	1.001374e+00
5.000000e-02	1.000000e-01	2.233790e+01	8.745225e-01	8.745225e-01
1.000000e-01	1.500000e-01	1.655170e+01	5.324525e-01	5.324525e-01
1.500000e-01	2.000000e-01	1.215860e+01	3.216218e-01	3.216218e-01
2.000000e-01	2.500000e-01	9.090000e+00	1.941331e-01	1.941331e-01
2.500000e-01	3.000000e-01	6.760340e+00	1.151075e-01	1.151075e-01
3.000000e-01	3.500000e-01	5.062810e+00	7.221161e-02	7.221161e-02
3.500000e-01	4.000000e-01	3.838940e+00	5.353822e-02	5.353822e-02
4.000000e-01	4.500000e-01	2.893420e+00	4.718166e-02	4.718166e-02
4.500000e-01	5.000000e-01	2.190970e+00	4.469178e-02	4.469178e-02
5.000000e-01	5.500000e-01	1.603270e+00	4.086119e-02	4.086119e-02
5.500000e-01	6.000000e-01	1.278210e+00	3.959107e-02	3.959107e-02
6.000000e-01	6.500000e-01	9.919090e-01	3.655468e-02	3.655468e-02
6.500000e-01	7.000000e-01	7.606960e-01	3.272334e-02	3.272334e-02
7.000000e-01	7.500000e-01	5.887410e-01	2.904476e-02	2.904476e-02
7.500000e-01	8.000000e-01	4.469900e-01	2.500771e-02	2.500771e-02
8.000000e-01	8.500000e-01	3.651130e-01	2.286146e-02	2.286146e-02
8.500000e-01	9.000000e-01	2.807060e-01	1.960010e-02	1.960010e-02
9.000000e-01	9.500000e-01	2.166830e-01	1.678239e-02	1.678239e-02
9.500000e-01	1.000000e+00	3.252390e-01	3.851584e-02	3.851584e-02
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/j/jpiel/Rivet/RIVETAnalyses/ALICE_2019_I1693308/Rivet.yoda/ALICE_2019_I1693308/d03-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/j/jpiel/Rivet/RIVETAnalyses/ALICE_2019_I1693308/Rivet.yoda/ALICE_2019_I1693308/d03-x01-y01
ScaledBy=3.69003690036900402e-03
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.985240e+01	1.210422e+00	1.210422e+00
5.000000e-02	1.000000e-01	2.258302e+01	1.290986e+00	1.290986e+00
1.000000e-01	1.500000e-01	1.675277e+01	1.111920e+00	1.111920e+00
1.500000e-01	2.000000e-01	1.542435e+01	1.066925e+00	1.066925e+00
2.000000e-01	2.500000e-01	8.413284e+00	7.879761e-01	7.879761e-01
2.500000e-01	3.000000e-01	8.044280e+00	7.705024e-01	7.705024e-01
3.000000e-01	3.500000e-01	5.682656e+00	6.475989e-01	6.475989e-01
3.500000e-01	4.000000e-01	3.763838e+00	5.270427e-01	5.270427e-01
4.000000e-01	4.500000e-01	2.878228e+00	4.608855e-01	4.608855e-01
4.500000e-01	5.000000e-01	1.918819e+00	3.763114e-01	3.763114e-01
5.000000e-01	5.500000e-01	1.033210e+00	2.761371e-01	2.761371e-01
5.500000e-01	6.000000e-01	8.856088e-01	2.556533e-01	2.556533e-01
6.000000e-01	6.500000e-01	1.402214e+00	3.216900e-01	3.216900e-01
6.500000e-01	7.000000e-01	5.166052e-01	1.952584e-01	1.952584e-01
7.000000e-01	7.500000e-01	6.642066e-01	2.214023e-01	2.214023e-01
7.500000e-01	8.000000e-01	7.380074e-02	7.380073e-02	7.380073e-02
8.000000e-01	8.500000e-01	3.690036e-01	1.650235e-01	1.650235e-01
8.500000e-01	9.000000e-01	2.214022e-01	1.278266e-01	1.278266e-01
9.000000e-01	9.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e-01	1.000000e+00	1.476015e-01	1.043700e-01	1.043700e-01
# END HISTO1D

