# BEGIN PLOT
Legend=1
LogY=1
Title=$\frac{1}{N_{Event}2\pi p_{T}}\frac{dN^{2}}{dp_{T}dy}$ of $h^{\pm}$ in in Au+Au at $\sqrt{s_{NN}}=$ 130GeV ($0-10\%$)
XLabel=$p_{T}$(GeV/c)
YLabel=$\frac{1}{N_{Event}2\pi p_{T}}\frac{dN^{2}}{dp_{T}dy}$
DrawOnly=/PHENIX_2001_I562409/d05-x01-y01 //lustre/isaac/proj/UTK0019/aidan/RIVETAnalyses/PHENIX_2001_I562409/Rivet.yoda/PHENIX_2001_I562409:beam=dAU200:cent=GEN/d05-x01-y01
LegendOnly=/PHENIX_2001_I562409/d05-x01-y01 //lustre/isaac/proj/UTK0019/aidan/RIVETAnalyses/PHENIX_2001_I562409/Rivet.yoda/PHENIX_2001_I562409:beam=dAU200:cent=GEN/d05-x01-y01
RatioPlot=1
RatioPlotReference=/PHENIX_2001_I562409/d05-x01-y01
# END PLOT

# BEGIN HISTO1D /PHENIX_2001_I562409/d05-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2001_I562409/d05-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e-01	4.000000e-01	1.678000e+02	5.000360e+01	5.000360e+01
4.000000e-01	5.000000e-01	8.928000e+01	2.500180e+01	2.500180e+01
5.000000e-01	6.000000e-01	5.352000e+01	1.400129e+01	1.400129e+01
6.000000e-01	7.000000e-01	3.459000e+01	8.001056e+00	8.001056e+00
7.000000e-01	8.000000e-01	2.264000e+01	5.001000e+00	5.001000e+00
8.000000e-01	9.000000e-01	1.501000e+01	3.000817e+00	3.000817e+00
9.000000e-01	1.000000e+00	1.028000e+01	2.000900e+00	2.000900e+00
1.000000e+00	1.100000e+00	7.180000e+00	1.300615e+00	1.300615e+00
1.100000e+00	1.200000e+00	5.137000e+00	9.006803e-01	9.006803e-01
1.200000e+00	1.300000e+00	3.645000e+00	7.005598e-01	7.005598e-01
1.300000e+00	1.400000e+00	2.584000e+00	5.005287e-01	5.005287e-01
1.400000e+00	1.500000e+00	1.837000e+00	3.304905e-01	3.304905e-01
1.500000e+00	1.600000e+00	1.316000e+00	2.404683e-01	2.404683e-01
1.600000e+00	1.700000e+00	9.630000e-01	1.704230e-01	1.704230e-01
1.700000e+00	1.800000e+00	6.860000e-01	1.204159e-01	1.204159e-01
1.800000e+00	1.900000e+00	4.980000e-01	9.035486e-02	9.035486e-02
1.900000e+00	2.000000e+00	3.480000e-01	6.040695e-02	6.040695e-02
2.000000e+00	2.100000e+00	2.630000e-01	5.035871e-02	5.035871e-02
2.100000e+00	2.200000e+00	1.930000e-01	3.535534e-02	3.535534e-02
2.200000e+00	2.300000e+00	1.330000e-01	2.433105e-02	2.433105e-02
2.300000e+00	2.400000e+00	1.004000e-01	1.830000e-02	1.830000e-02
2.400000e+00	2.500000e+00	7.430000e-02	1.329812e-02	1.329812e-02
2.500000e+00	2.600000e+00	5.580000e-02	1.028397e-02	1.028397e-02
2.600000e+00	2.700000e+00	4.490000e-02	8.271034e-03	8.271034e-03
2.700000e+00	2.800000e+00	2.990000e-02	5.281098e-03	5.281098e-03
2.800000e+00	2.900000e+00	2.310000e-02	4.272002e-03	4.272002e-03
2.900000e+00	3.000000e+00	1.810000e-02	3.546830e-03	3.546830e-03
3.000000e+00	3.200000e+00	1.180000e-02	2.213594e-03	2.213594e-03
3.200000e+00	3.400000e+00	7.200000e-03	1.431782e-03	1.431782e-03
3.400000e+00	3.600000e+00	4.600000e-03	1.077033e-03	1.077033e-03
3.600000e+00	3.800000e+00	3.300000e-03	9.848858e-04	9.848858e-04
3.800000e+00	4.000000e+00	1.900000e-03	6.753518e-04	6.753518e-04
4.000000e+00	4.400000e+00	1.020000e-03	3.443835e-04	3.443835e-04
4.400000e+00	5.000000e+00	3.000000e-04	1.000000e-04	1.000000e-04
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/aidan/RIVETAnalyses/PHENIX_2001_I562409/Rivet.yoda/PHENIX_2001_I562409:beam=dAU200:cent=GEN/d05-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/aidan/RIVETAnalyses/PHENIX_2001_I562409/Rivet.yoda/PHENIX_2001_I562409:beam=dAU200:cent=GEN/d05-x01-y01
ScaledBy=inf
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e-01	4.000000e-01	-nan	nan	nan
4.000000e-01	5.000000e-01	-nan	nan	nan
5.000000e-01	6.000000e-01	-nan	nan	nan
6.000000e-01	7.000000e-01	-nan	nan	nan
7.000000e-01	8.000000e-01	-nan	nan	nan
8.000000e-01	9.000000e-01	-nan	nan	nan
9.000000e-01	1.000000e+00	-nan	nan	nan
1.000000e+00	1.100000e+00	-nan	nan	nan
1.100000e+00	1.200000e+00	-nan	nan	nan
1.200000e+00	1.300000e+00	-nan	nan	nan
1.300000e+00	1.400000e+00	-nan	nan	nan
1.400000e+00	1.500000e+00	-nan	nan	nan
1.500000e+00	1.600000e+00	-nan	nan	nan
1.600000e+00	1.700000e+00	-nan	nan	nan
1.700000e+00	1.800000e+00	-nan	nan	nan
1.800000e+00	1.900000e+00	-nan	nan	nan
1.900000e+00	2.000000e+00	-nan	nan	nan
2.000000e+00	2.100000e+00	-nan	nan	nan
2.100000e+00	2.200000e+00	-nan	nan	nan
2.200000e+00	2.300000e+00	-nan	nan	nan
2.300000e+00	2.400000e+00	-nan	nan	nan
2.400000e+00	2.500000e+00	-nan	nan	nan
2.500000e+00	2.600000e+00	-nan	nan	nan
2.600000e+00	2.700000e+00	-nan	nan	nan
2.700000e+00	2.800000e+00	-nan	nan	nan
2.800000e+00	2.900000e+00	-nan	nan	nan
2.900000e+00	3.000000e+00	-nan	nan	nan
3.000000e+00	3.200000e+00	-nan	nan	nan
3.200000e+00	3.400000e+00	-nan	nan	nan
3.400000e+00	3.600000e+00	-nan	nan	nan
3.600000e+00	3.800000e+00	-nan	nan	nan
3.800000e+00	4.000000e+00	-nan	nan	nan
4.000000e+00	4.400000e+00	-nan	nan	nan
4.400000e+00	5.000000e+00	-nan	nan	nan
# END HISTO1D

