# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=/PHENIX_2004_I623413/d04-x01-y01 //lustre/isaac/proj/UTK0019/bhakans1/Rivet.2/RIVETAnalyses/PHENIX_2004_I623413/Rivet.yoda/PHENIX_2004_I623413:beam=AUAU130:cent=GEN/d04-x01-y01
LegendOnly=/PHENIX_2004_I623413/d04-x01-y01 //lustre/isaac/proj/UTK0019/bhakans1/Rivet.2/RIVETAnalyses/PHENIX_2004_I623413/Rivet.yoda/PHENIX_2004_I623413:beam=AUAU130:cent=GEN/d04-x01-y01
RatioPlot=1
RatioPlotReference=/PHENIX_2004_I623413/d04-x01-y01
# END PLOT

# BEGIN HISTO1D /PHENIX_2004_I623413/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2004_I623413/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	3.000000e-01	3.550000e+02	9.000000e+00	9.000000e+00
3.000000e-01	4.000000e-01	1.880000e+02	5.000000e+00	5.000000e+00
4.000000e-01	5.000000e-01	9.500000e+01	3.000000e+00	3.000000e+00
5.000000e-01	6.000000e-01	5.600000e+01	2.000000e+00	2.000000e+00
6.000000e-01	7.000000e-01	3.200000e+01	1.000000e+00	1.000000e+00
7.000000e-01	8.000000e-01	2.110000e+01	9.000000e-01	9.000000e-01
8.000000e-01	9.000000e-01	1.400000e+01	7.000000e-01	7.000000e-01
9.000000e-01	1.100000e+00	7.100000e+00	3.000000e-01	3.000000e-01
1.100000e+00	1.300000e+00	3.200000e+00	2.000000e-01	2.000000e-01
1.300000e+00	1.500000e+00	1.300000e+00	1.000000e-01	1.000000e-01
1.500000e+00	1.700000e+00	5.500000e-01	7.000000e-02	7.000000e-02
1.700000e+00	1.900000e+00	3.500000e-01	5.000000e-02	5.000000e-02
1.900000e+00	2.100000e+00	1.800000e-01	3.000000e-02	3.000000e-02
2.100000e+00	2.300000e+00	4.300000e-02	2.000000e-02	2.000000e-02
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/bhakans1/Rivet.2/RIVETAnalyses/PHENIX_2004_I623413/Rivet.yoda/PHENIX_2004_I623413:beam=AUAU130:cent=GEN/d04-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/bhakans1/Rivet.2/RIVETAnalyses/PHENIX_2004_I623413/Rivet.yoda/PHENIX_2004_I623413:beam=AUAU130:cent=GEN/d04-x01-y01
ScaledBy=1.00000000000000000e+00
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	3.000000e-01	1.527401e+39	2.581780e+38	2.581780e+38
3.000000e-01	4.000000e-01	8.728008e+38	1.951642e+38	1.951642e+38
4.000000e-01	5.000000e-01	6.982407e+38	1.745602e+38	1.745602e+38
5.000000e-01	6.000000e-01	5.236805e+38	1.511735e+38	1.511735e+38
6.000000e-01	7.000000e-01	2.182002e+38	9.758210e+37	9.758210e+37
7.000000e-01	8.000000e-01	1.745602e+38	8.728008e+37	8.728008e+37
8.000000e-01	9.000000e-01	1.309201e+38	7.558677e+37	7.558677e+37
9.000000e-01	1.100000e+00	1.963802e+38	6.546006e+37	6.546006e+37
1.100000e+00	1.300000e+00	6.546005e+37	3.779339e+37	3.779339e+37
1.300000e+00	1.500000e+00	2.182002e+37	2.182002e+37	2.182002e+37
1.500000e+00	1.700000e+00	6.546005e+37	3.779339e+37	3.779339e+37
1.700000e+00	1.900000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.900000e+00	2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.100000e+00	2.300000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

