# BEGIN PLOT
Legend=1
LogY=1
Title=protons in p+p noFD at $\sqrt{s_{NN}}=$ 200GeV
XLabel=$p_{T}$(GeV/c)
YLabel=$\frac{1}{N_{Event}2\pi p_{T}}\frac{d^{2}N}{dp_{T}dy}$
DrawOnly=/PHENIX_2011_I886590/d03-x01-y01 //lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d03-x01-y01
LegendOnly=/PHENIX_2011_I886590/d03-x01-y01 //lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d03-x01-y01
RatioPlot=1
RatioPlotReference=/PHENIX_2011_I886590/d03-x01-y01
# END PLOT

# BEGIN HISTO1D /PHENIX_2011_I886590/d03-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2011_I886590/d03-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	1.020000e+00	6.324555e-02	6.324555e-02
6.000000e-01	7.000000e-01	7.400000e-01	4.712749e-02	4.712749e-02
7.000000e-01	8.000000e-01	5.580000e-01	3.573514e-02	3.573514e-02
8.000000e-01	9.000000e-01	3.770000e-01	2.435159e-02	2.435159e-02
9.000000e-01	1.000000e+00	2.730000e-01	1.708801e-02	1.708801e-02
1.000000e+00	1.100000e+00	1.800000e-01	1.170470e-02	1.170470e-02
1.100000e+00	1.200000e+00	1.270000e-01	8.544004e-03	8.544004e-03
1.200000e+00	1.300000e+00	9.180000e-02	5.923681e-03	5.923681e-03
1.300000e+00	1.400000e+00	6.240000e-02	4.031129e-03	4.031129e-03
1.400000e+00	1.500000e+00	4.800000e-02	3.178050e-03	3.178050e-03
1.500000e+00	1.600000e+00	3.320000e-02	2.193171e-03	2.193171e-03
1.600000e+00	1.700000e+00	2.310000e-02	1.523155e-03	1.523155e-03
1.700000e+00	1.800000e+00	1.700000e-02	1.118034e-03	1.118034e-03
1.800000e+00	1.900000e+00	1.170000e-02	8.062258e-04	8.062258e-04
1.900000e+00	2.000000e+00	8.980000e-03	6.129437e-04	6.129437e-04
2.000000e+00	2.100000e+00	6.680000e-03	4.614109e-04	4.614109e-04
2.100000e+00	2.200000e+00	4.620000e-03	3.224903e-04	3.224903e-04
2.200000e+00	2.300000e+00	3.910000e-03	2.830194e-04	2.830194e-04
2.300000e+00	2.400000e+00	2.630000e-03	1.886796e-04	1.886796e-04
2.400000e+00	2.500000e+00	1.790000e-03	1.303840e-04	1.303840e-04
2.500000e+00	2.600000e+00	1.620000e-03	1.220656e-04	1.220656e-04
2.600000e+00	2.700000e+00	1.150000e-03	8.602325e-05	8.602325e-05
2.700000e+00	2.800000e+00	8.890000e-04	7.121798e-05	7.121798e-05
2.800000e+00	2.900000e+00	6.380000e-04	5.390733e-05	5.390733e-05
2.900000e+00	3.000000e+00	4.970000e-04	4.386342e-05	4.386342e-05
3.000000e+00	3.100000e+00	4.130000e-04	3.748333e-05	3.748333e-05
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d03-x01-y01
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d03-x01-y01
ScaledBy=1.00000000000000000e+00
Title=Rivet_pp200
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	nan	nan	nan
6.000000e-01	7.000000e-01	nan	nan	nan
7.000000e-01	8.000000e-01	nan	nan	nan
8.000000e-01	9.000000e-01	nan	nan	nan
9.000000e-01	1.000000e+00	nan	nan	nan
1.000000e+00	1.100000e+00	nan	nan	nan
1.100000e+00	1.200000e+00	nan	nan	nan
1.200000e+00	1.300000e+00	nan	nan	nan
1.300000e+00	1.400000e+00	nan	nan	nan
1.400000e+00	1.500000e+00	nan	nan	nan
1.500000e+00	1.600000e+00	nan	nan	nan
1.600000e+00	1.700000e+00	nan	nan	nan
1.700000e+00	1.800000e+00	nan	nan	nan
1.800000e+00	1.900000e+00	nan	nan	nan
1.900000e+00	2.000000e+00	nan	nan	nan
2.000000e+00	2.100000e+00	nan	nan	nan
2.100000e+00	2.200000e+00	nan	nan	nan
2.200000e+00	2.300000e+00	nan	nan	nan
2.300000e+00	2.400000e+00	nan	nan	nan
2.400000e+00	2.500000e+00	nan	nan	nan
2.500000e+00	2.600000e+00	nan	nan	nan
2.600000e+00	2.700000e+00	nan	nan	nan
2.700000e+00	2.800000e+00	nan	nan	nan
2.800000e+00	2.900000e+00	nan	nan	nan
2.900000e+00	3.000000e+00	nan	nan	nan
3.000000e+00	3.100000e+00	nan	nan	nan
# END HISTO1D

