# BEGIN PLOT
Legend=1
LogY=1
Title=antiprotons in p+p with FD  at $\sqrt{s_{NN}}=$ 200GeV
XLabel=$p_{T}$(GeV/c)
YLabel=$\frac{1}{N_{Event}2\pi p_{T}}\frac{d^{2}N}{dp_{T}dy}$
DrawOnly=/PHENIX_2011_I886590/d04-x01-y02 //lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d04-x01-y02
LegendOnly=/PHENIX_2011_I886590/d04-x01-y02 //lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d04-x01-y02
RatioPlot=1
RatioPlotReference=/PHENIX_2011_I886590/d04-x01-y02
# END PLOT

# BEGIN HISTO1D /PHENIX_2011_I886590/d04-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2011_I886590/d04-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	4.560000e-01	1.103676e-01	1.103676e-01
6.000000e-01	7.000000e-01	3.630000e-01	7.831347e-02	7.831347e-02
7.000000e-01	8.000000e-01	2.870000e-01	5.632051e-02	5.632051e-02
8.000000e-01	9.000000e-01	2.040000e-01	3.622154e-02	3.622154e-02
9.000000e-01	1.000000e+00	1.440000e-01	2.418677e-02	2.418677e-02
1.000000e+00	1.100000e+00	1.060000e-01	1.612452e-02	1.612452e-02
1.100000e+00	1.200000e+00	7.480000e-02	1.111575e-02	1.111575e-02
1.200000e+00	1.300000e+00	5.310000e-02	7.200694e-03	7.200694e-03
1.300000e+00	1.400000e+00	4.000000e-02	5.178803e-03	5.178803e-03
1.400000e+00	1.500000e+00	2.720000e-02	3.354102e-03	3.354102e-03
1.500000e+00	1.600000e+00	1.980000e-02	2.353720e-03	2.353720e-03
1.600000e+00	1.700000e+00	1.450000e-02	1.649242e-03	1.649242e-03
1.700000e+00	1.800000e+00	1.060000e-02	1.236932e-03	1.236932e-03
1.800000e+00	1.900000e+00	7.420000e-03	8.149233e-04	8.149233e-04
1.900000e+00	2.000000e+00	5.370000e-03	5.797413e-04	5.797413e-04
2.000000e+00	2.100000e+00	4.000000e-03	4.176123e-04	4.176123e-04
2.100000e+00	2.200000e+00	2.840000e-03	2.941088e-04	2.941088e-04
2.200000e+00	2.300000e+00	2.300000e-03	2.308679e-04	2.308679e-04
2.300000e+00	2.400000e+00	1.670000e-03	1.708801e-04	1.708801e-04
2.400000e+00	2.500000e+00	1.270000e-03	1.264911e-04	1.264911e-04
2.500000e+00	2.600000e+00	8.890000e-04	8.969392e-05	8.969392e-05
2.600000e+00	2.700000e+00	7.190000e-04	7.249828e-05	7.249828e-05
2.700000e+00	2.800000e+00	5.080000e-04	5.142956e-05	5.142956e-05
2.800000e+00	2.900000e+00	4.160000e-04	4.294182e-05	4.294182e-05
2.900000e+00	3.000000e+00	3.130000e-04	3.224903e-05	3.224903e-05
3.000000e+00	3.100000e+00	2.580000e-04	2.692582e-05	2.692582e-05
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d04-x01-y02
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d04-x01-y02
ScaledBy=1.00000000000000000e+00
Title=Rivet_pp200
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	6.000000e-01	nan	nan	nan
6.000000e-01	7.000000e-01	nan	nan	nan
7.000000e-01	8.000000e-01	nan	nan	nan
8.000000e-01	9.000000e-01	nan	nan	nan
9.000000e-01	1.000000e+00	nan	nan	nan
1.000000e+00	1.100000e+00	nan	nan	nan
1.100000e+00	1.200000e+00	nan	nan	nan
1.200000e+00	1.300000e+00	nan	nan	nan
1.300000e+00	1.400000e+00	nan	nan	nan
1.400000e+00	1.500000e+00	nan	nan	nan
1.500000e+00	1.600000e+00	nan	nan	nan
1.600000e+00	1.700000e+00	nan	nan	nan
1.700000e+00	1.800000e+00	nan	nan	nan
1.800000e+00	1.900000e+00	nan	nan	nan
1.900000e+00	2.000000e+00	nan	nan	nan
2.000000e+00	2.100000e+00	nan	nan	nan
2.100000e+00	2.200000e+00	nan	nan	nan
2.200000e+00	2.300000e+00	nan	nan	nan
2.300000e+00	2.400000e+00	nan	nan	nan
2.400000e+00	2.500000e+00	nan	nan	nan
2.500000e+00	2.600000e+00	nan	nan	nan
2.600000e+00	2.700000e+00	nan	nan	nan
2.700000e+00	2.800000e+00	nan	nan	nan
2.800000e+00	2.900000e+00	nan	nan	nan
2.900000e+00	3.000000e+00	nan	nan	nan
3.000000e+00	3.100000e+00	nan	nan	nan
# END HISTO1D

