# BEGIN PLOT
Legend=1
LogY=1
Title=$\pi^{-}$ in p+p at $\sqrt{s_{NN}}=$ 62GeV
XLabel=$p_{T}$(GeV/c)
YLabel=$\frac{1}{N_{Event}2\pi p_{T}}\frac{d^{2}N}{dp_{T}dy}$
DrawOnly=/PHENIX_2011_I886590/d05-x01-y02 //lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d05-x01-y02
LegendOnly=/PHENIX_2011_I886590/d05-x01-y02 //lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d05-x01-y02
RatioPlot=1
RatioPlotReference=/PHENIX_2011_I886590/d05-x01-y02
# END PLOT

# BEGIN HISTO1D /PHENIX_2011_I886590/d05-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2011_I886590/d05-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e-01	4.000000e-01	2.080000e+01	1.303840e+00	1.303840e+00
4.000000e-01	5.000000e-01	1.120000e+01	7.071068e-01	7.071068e-01
5.000000e-01	6.000000e-01	5.940000e+00	3.634556e-01	3.634556e-01
6.000000e-01	7.000000e-01	3.250000e+00	1.923538e-01	1.923538e-01
7.000000e-01	8.000000e-01	1.920000e+00	1.216553e-01	1.216553e-01
8.000000e-01	9.000000e-01	1.150000e+00	7.071068e-02	7.071068e-02
9.000000e-01	1.000000e+00	6.680000e-01	4.079216e-02	4.079216e-02
1.000000e+00	1.100000e+00	4.060000e-01	2.473863e-02	2.473863e-02
1.100000e+00	1.200000e+00	2.530000e-01	1.552417e-02	1.552417e-02
1.200000e+00	1.300000e+00	1.600000e-01	1.044031e-02	1.044031e-02
1.300000e+00	1.400000e+00	1.030000e-01	6.324555e-03	6.324555e-03
1.400000e+00	1.500000e+00	6.740000e-02	4.308132e-03	4.308132e-03
1.500000e+00	1.600000e+00	4.540000e-02	2.954657e-03	2.954657e-03
1.600000e+00	1.700000e+00	3.070000e-02	2.059126e-03	2.059126e-03
1.700000e+00	1.800000e+00	2.250000e-02	1.612452e-03	1.612452e-03
1.800000e+00	1.900000e+00	1.550000e-02	1.140175e-03	1.140175e-03
1.900000e+00	2.000000e+00	9.630000e-03	7.789737e-04	7.789737e-04
2.000000e+00	2.100000e+00	7.230000e-03	6.370243e-04	6.370243e-04
2.100000e+00	2.200000e+00	4.720000e-03	4.860041e-04	4.860041e-04
2.200000e+00	2.300000e+00	3.320000e-03	3.944617e-04	3.944617e-04
2.300000e+00	2.400000e+00	2.670000e-03	3.712142e-04	3.712142e-04
2.400000e+00	2.500000e+00	1.750000e-03	3.101612e-04	3.101612e-04
2.500000e+00	2.600000e+00	1.490000e-03	2.879236e-04	2.879236e-04
2.600000e+00	2.700000e+00	1.070000e-03	2.596151e-04	2.596151e-04
2.700000e+00	2.800000e+00	7.620000e-04	2.557655e-04	2.557655e-04
2.800000e+00	2.900000e+00	5.100000e-04	2.033937e-04	2.033937e-04
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d05-x01-y02
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d05-x01-y02
ScaledBy=1.00000000000000000e+00
Title=Rivet_pp200
# xlow	 xhigh	 val	 errminus	 errplus
3.000000e-01	4.000000e-01	nan	nan	nan
4.000000e-01	5.000000e-01	nan	nan	nan
5.000000e-01	6.000000e-01	nan	nan	nan
6.000000e-01	7.000000e-01	nan	nan	nan
7.000000e-01	8.000000e-01	nan	nan	nan
8.000000e-01	9.000000e-01	nan	nan	nan
9.000000e-01	1.000000e+00	nan	nan	nan
1.000000e+00	1.100000e+00	nan	nan	nan
1.100000e+00	1.200000e+00	nan	nan	nan
1.200000e+00	1.300000e+00	nan	nan	nan
1.300000e+00	1.400000e+00	nan	nan	nan
1.400000e+00	1.500000e+00	nan	nan	nan
1.500000e+00	1.600000e+00	nan	nan	nan
1.600000e+00	1.700000e+00	nan	nan	nan
1.700000e+00	1.800000e+00	nan	nan	nan
1.800000e+00	1.900000e+00	nan	nan	nan
1.900000e+00	2.000000e+00	nan	nan	nan
2.000000e+00	2.100000e+00	nan	nan	nan
2.100000e+00	2.200000e+00	nan	nan	nan
2.200000e+00	2.300000e+00	nan	nan	nan
2.300000e+00	2.400000e+00	nan	nan	nan
2.400000e+00	2.500000e+00	nan	nan	nan
2.500000e+00	2.600000e+00	nan	nan	nan
2.600000e+00	2.700000e+00	nan	nan	nan
2.700000e+00	2.800000e+00	nan	nan	nan
2.800000e+00	2.900000e+00	nan	nan	nan
# END HISTO1D

