# BEGIN PLOT
Legend=1
LogY=1
Title=antiprotons in p+p with FD at $\sqrt{s_{NN}}=$ 62GeV
XLabel=$p_{T}$(GeV/c)
YLabel=$\frac{1}{N_{Event}2\pi p_{T}}\frac{d^{2}N}{dp_{T}dy}$
DrawOnly=/PHENIX_2011_I886590/d08-x01-y02 //lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d08-x01-y02
LegendOnly=/PHENIX_2011_I886590/d08-x01-y02 //lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d08-x01-y02
RatioPlot=1
RatioPlotReference=/PHENIX_2011_I886590/d08-x01-y02
# END PLOT

# BEGIN HISTO1D /PHENIX_2011_I886590/d08-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2011_I886590/d08-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
6.000000e-01	7.000000e-01	1.180000e-01	6.503076e-02	6.503076e-02
7.000000e-01	8.000000e-01	1.200000e-01	3.405877e-02	3.405877e-02
8.000000e-01	9.000000e-01	1.050000e-01	1.910497e-02	1.910497e-02
9.000000e-01	1.000000e+00	8.120000e-02	1.113059e-02	1.113059e-02
1.000000e+00	1.100000e+00	5.910000e-02	6.746851e-03	6.746851e-03
1.100000e+00	1.200000e+00	4.070000e-02	4.148494e-03	4.148494e-03
1.200000e+00	1.300000e+00	2.810000e-02	2.751363e-03	2.751363e-03
1.300000e+00	1.400000e+00	2.040000e-02	1.969772e-03	1.969772e-03
1.400000e+00	1.500000e+00	1.330000e-02	1.252996e-03	1.252996e-03
1.500000e+00	1.600000e+00	9.420000e-03	9.374433e-04	9.374433e-04
1.600000e+00	1.700000e+00	6.190000e-03	6.543699e-04	6.543699e-04
1.700000e+00	1.800000e+00	3.970000e-03	4.596738e-04	4.596738e-04
1.800000e+00	1.900000e+00	3.000000e-03	3.841875e-04	3.841875e-04
1.900000e+00	2.000000e+00	1.880000e-03	2.662705e-04	2.662705e-04
2.000000e+00	2.100000e+00	1.410000e-03	2.282542e-04	2.282542e-04
2.100000e+00	2.200000e+00	9.240000e-04	1.672603e-04	1.672603e-04
2.200000e+00	2.300000e+00	6.210000e-04	1.392839e-04	1.392839e-04
2.300000e+00	2.400000e+00	5.250000e-04	1.271377e-04	1.271377e-04
2.400000e+00	2.500000e+00	2.780000e-04	9.654015e-05	9.654015e-05
2.500000e+00	2.600000e+00	2.160000e-04	7.592760e-05	7.592760e-05
2.600000e+00	2.700000e+00	1.600000e-04	7.119691e-05	7.119691e-05
2.700000e+00	2.800000e+00	1.550000e-04	6.708204e-05	6.708204e-05
2.800000e+00	2.900000e+00	2.130000e-04	8.276473e-05	8.276473e-05
2.900000e+00	3.000000e+00	5.850000e-05	4.425031e-05	4.425031e-05
3.000000e+00	3.200000e+00	6.300000e-05	2.553507e-05	2.553507e-05
3.200000e+00	3.400000e+00	3.690000e-05	2.817108e-05	2.817108e-05
3.400000e+00	3.600000e+00	4.640000e-05	2.828427e-05	2.828427e-05
# END HISTO1D


# BEGIN HISTO1D //lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d08-x01-y02
LineColor=red
LineStyle=solid
Path=//lustre/isaac/proj/UTK0019/olivia/RIVETAnalyses/PHENIX_2011_I886590/Rivet_pp200.yoda/PHENIX_2011_I886590:beam=pp200/d08-x01-y02
ScaledBy=1.00000000000000000e+00
Title=Rivet_pp200
# xlow	 xhigh	 val	 errminus	 errplus
6.000000e-01	7.000000e-01	nan	nan	nan
7.000000e-01	8.000000e-01	nan	nan	nan
8.000000e-01	9.000000e-01	nan	nan	nan
9.000000e-01	1.000000e+00	nan	nan	nan
1.000000e+00	1.100000e+00	nan	nan	nan
1.100000e+00	1.200000e+00	nan	nan	nan
1.200000e+00	1.300000e+00	nan	nan	nan
1.300000e+00	1.400000e+00	nan	nan	nan
1.400000e+00	1.500000e+00	nan	nan	nan
1.500000e+00	1.600000e+00	nan	nan	nan
1.600000e+00	1.700000e+00	nan	nan	nan
1.700000e+00	1.800000e+00	nan	nan	nan
1.800000e+00	1.900000e+00	nan	nan	nan
1.900000e+00	2.000000e+00	nan	nan	nan
2.000000e+00	2.100000e+00	nan	nan	nan
2.100000e+00	2.200000e+00	nan	nan	nan
2.200000e+00	2.300000e+00	nan	nan	nan
2.300000e+00	2.400000e+00	nan	nan	nan
2.400000e+00	2.500000e+00	nan	nan	nan
2.500000e+00	2.600000e+00	nan	nan	nan
2.600000e+00	2.700000e+00	nan	nan	nan
2.700000e+00	2.800000e+00	nan	nan	nan
2.800000e+00	2.900000e+00	nan	nan	nan
2.900000e+00	3.000000e+00	nan	nan	nan
3.000000e+00	3.200000e+00	nan	nan	nan
3.200000e+00	3.400000e+00	nan	nan	nan
3.400000e+00	3.600000e+00	nan	nan	nan
# END HISTO1D

