# BEGIN PLOT
Legend=1
LogY=1
Title=[Insert title for histogram d01-x01-y01 here]
XLabel=[Insert $x$-axis label for histogram d01-x01-y01 here]
YLabel=[Insert $y$-axis label for histogram d01-x01-y01 here]
DrawOnly=/PHENIX_2016_I1393529/d01-x01-y01 //gpfs/mnt/gpfs02/phenix/fvtx/subsys/fvtx/ajeeta/RIVET/RIVETAnalyses/PHENIX_2016_I1393529/Rivet.yoda/PHENIX_2016_I1393529:cent=GEN/d01-x01-y01
LegendOnly=/PHENIX_2016_I1393529/d01-x01-y01 //gpfs/mnt/gpfs02/phenix/fvtx/subsys/fvtx/ajeeta/RIVET/RIVETAnalyses/PHENIX_2016_I1393529/Rivet.yoda/PHENIX_2016_I1393529:cent=GEN/d01-x01-y01
RatioPlot=1
RatioPlotReference=/PHENIX_2016_I1393529/d01-x01-y01
# END PLOT

# BEGIN HISTO1D /PHENIX_2016_I1393529/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2016_I1393529/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	4.070000e-01	1.320000e-01	6.560000e-01
5.000000e-01	1.000000e+00	4.610000e-01	7.690000e-02	2.260000e-01
1.000000e+00	1.500000e+00	3.380000e-01	4.010000e-02	4.620000e-02
1.500000e+00	2.000000e+00	1.720000e-01	2.810000e-02	2.780000e-02
2.000000e+00	2.500000e+00	6.480000e-02	1.390000e-02	1.370000e-02
2.500000e+00	3.000000e+00	2.150000e-02	4.800000e-03	4.730000e-03
3.000000e+00	3.500000e+00	6.690000e-03	1.430000e-03	1.410000e-03
3.500000e+00	4.000000e+00	2.100000e-03	4.900000e-04	5.710000e-04
4.000000e+00	4.500000e+00	7.580000e-04	2.100000e-04	2.670000e-04
4.500000e+00	5.000000e+00	3.400000e-04	1.110000e-04	1.230000e-04
5.000000e+00	6.000000e+00	1.250000e-04	4.600000e-05	4.350000e-05
6.000000e+00	7.000000e+00	3.510000e-05	1.450000e-05	1.220000e-05
7.000000e+00	8.000000e+00	1.140000e-05	5.320000e-06	4.260000e-06
8.000000e+00	9.000000e+00	4.400000e-06	2.320000e-06	1.760000e-06
9.000000e+00	1.200000e+01	1.060000e-06	6.260000e-07	4.530000e-07
1.200000e+01	1.500000e+01	1.500000e-07	9.690000e-08	6.820000e-08
1.500000e+01	2.000000e+01	2.140000e-08	1.550000e-08	1.040000e-08
# END HISTO1D


# BEGIN HISTO1D //gpfs/mnt/gpfs02/phenix/fvtx/subsys/fvtx/ajeeta/RIVET/RIVETAnalyses/PHENIX_2016_I1393529/Rivet.yoda/PHENIX_2016_I1393529:cent=GEN/d01-x01-y01
LineColor=red
LineStyle=solid
Path=//gpfs/mnt/gpfs02/phenix/fvtx/subsys/fvtx/ajeeta/RIVET/RIVETAnalyses/PHENIX_2016_I1393529/Rivet.yoda/PHENIX_2016_I1393529:cent=GEN/d01-x01-y01
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

