# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=/PHENIX_2016_I1393529/d01-x01-y02 //gpfs/mnt/gpfs02/phenix/fvtx/subsys/fvtx/ajeeta/RIVET/RIVETAnalyses/PHENIX_2016_I1393529/Rivet.yoda/PHENIX_2016_I1393529:cent=GEN/d01-x01-y02
LegendOnly=/PHENIX_2016_I1393529/d01-x01-y02 //gpfs/mnt/gpfs02/phenix/fvtx/subsys/fvtx/ajeeta/RIVET/RIVETAnalyses/PHENIX_2016_I1393529/Rivet.yoda/PHENIX_2016_I1393529:cent=GEN/d01-x01-y02
RatioPlot=1
RatioPlotReference=/PHENIX_2016_I1393529/d01-x01-y02
# END PLOT

# BEGIN HISTO1D /PHENIX_2016_I1393529/d01-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2016_I1393529/d01-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	9.490000e-04	4.660000e-04	7.770000e-04
5.000000e-01	1.000000e+00	8.770000e-04	3.820000e-04	6.440000e-04
1.000000e+00	1.500000e+00	8.430000e-04	3.220000e-04	4.750000e-04
1.500000e+00	2.000000e+00	7.950000e-04	2.660000e-04	3.320000e-04
2.000000e+00	2.500000e+00	7.030000e-04	2.170000e-04	2.410000e-04
2.500000e+00	3.000000e+00	5.570000e-04	1.680000e-04	1.630000e-04
3.000000e+00	3.500000e+00	3.930000e-04	1.160000e-04	1.040000e-04
3.500000e+00	4.000000e+00	2.510000e-04	6.750000e-05	6.140000e-05
4.000000e+00	4.500000e+00	1.480000e-04	3.670000e-05	3.460000e-05
4.500000e+00	5.000000e+00	7.890000e-05	1.760000e-05	1.890000e-05
5.000000e+00	6.000000e+00	2.760000e-05	6.570000e-06	9.360000e-06
6.000000e+00	7.000000e+00	6.560000e-06	2.060000e-06	4.640000e-06
7.000000e+00	8.000000e+00	2.260000e-06	1.210000e-06	1.400000e-06
8.000000e+00	9.000000e+00	1.020000e-06	9.500000e-07	8.250000e-07
9.000000e+00	1.200000e+01	2.590000e-07	2.590000e-07	3.040000e-07
1.200000e+01	1.500000e+01	2.900000e-08	2.890000e-08	5.010000e-08
1.500000e+01	2.000000e+01	2.830000e-09	2.830000e-09	7.740000e-09
# END HISTO1D


# BEGIN HISTO1D //gpfs/mnt/gpfs02/phenix/fvtx/subsys/fvtx/ajeeta/RIVET/RIVETAnalyses/PHENIX_2016_I1393529/Rivet.yoda/PHENIX_2016_I1393529:cent=GEN/d01-x01-y02
LineColor=red
LineStyle=solid
Path=//gpfs/mnt/gpfs02/phenix/fvtx/subsys/fvtx/ajeeta/RIVET/RIVETAnalyses/PHENIX_2016_I1393529/Rivet.yoda/PHENIX_2016_I1393529:cent=GEN/d01-x01-y02
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.500000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

