# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=/PHENIX_2016_I1394433/d18-x01-y03 //direct/sphenix+u/eumaka/RIVETAnalyses/PHENIX_2016_I1394433/Rivet.yoda/PHENIX_2016_I1394433:cent=GEN/d18-x01-y03
LegendOnly=/PHENIX_2016_I1394433/d18-x01-y03 //direct/sphenix+u/eumaka/RIVETAnalyses/PHENIX_2016_I1394433/Rivet.yoda/PHENIX_2016_I1394433:cent=GEN/d18-x01-y03
RatioPlot=1
RatioPlotReference=/PHENIX_2016_I1394433/d18-x01-y03
# END PLOT

# BEGIN HISTO1D /PHENIX_2016_I1394433/d18-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2016_I1394433/d18-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	1.926000e+02	1.390000e+01	1.390000e+01
5.000000e+00	1.000000e+01	1.601000e+02	1.150000e+01	1.150000e+01
1.000000e+01	1.500000e+01	1.328000e+02	9.500000e+00	9.500000e+00
1.500000e+01	2.000000e+01	1.102000e+02	7.900000e+00	7.900000e+00
2.000000e+01	2.500000e+01	9.130000e+01	6.500000e+00	6.500000e+00
2.500000e+01	3.000000e+01	7.520000e+01	5.300000e+00	5.300000e+00
3.000000e+01	3.500000e+01	6.170000e+01	4.400000e+00	4.400000e+00
3.500000e+01	4.000000e+01	5.020000e+01	3.500000e+00	3.500000e+00
4.000000e+01	4.500000e+01	4.060000e+01	2.900000e+00	2.900000e+00
# END HISTO1D


# BEGIN HISTO1D //direct/sphenix+u/eumaka/RIVETAnalyses/PHENIX_2016_I1394433/Rivet.yoda/PHENIX_2016_I1394433:cent=GEN/d18-x01-y03
LineColor=red
LineStyle=solid
Path=//direct/sphenix+u/eumaka/RIVETAnalyses/PHENIX_2016_I1394433/Rivet.yoda/PHENIX_2016_I1394433:cent=GEN/d18-x01-y03
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.500000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	4.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

