# BEGIN PLOT
Legend=1
LogY=1
Title=Charged particle multiplicity results for 62.4 GeV Au+Au collisions
XLabel=centrality
YLabel=$dN_{ch}/d_{\eta}$
DrawOnly=/PHENIX_2016_I1394433/d06-x01-y03 //Users/ejiro/RIVETAnalyses/PHENIX_2016_I1394433/Rivet_AUAU_62.yoda/PHENIX_2016_I1394433:cent=GEN/d06-x01-y03
LegendOnly=/PHENIX_2016_I1394433/d06-x01-y03 //Users/ejiro/RIVETAnalyses/PHENIX_2016_I1394433/Rivet_AUAU_62.yoda/PHENIX_2016_I1394433:cent=GEN/d06-x01-y03
RatioPlot=1
RatioPlotReference=/PHENIX_2016_I1394433/d06-x01-y03
# END PLOT

# BEGIN HISTO1D /PHENIX_2016_I1394433/d06-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2016_I1394433/d06-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	4.475000e+02	3.890000e+01	3.890000e+01
5.000000e+00	1.000000e+01	3.674000e+02	3.160000e+01	3.160000e+01
1.000000e+01	1.500000e+01	3.018000e+02	2.580000e+01	2.580000e+01
1.500000e+01	2.000000e+01	2.480000e+02	2.100000e+01	2.100000e+01
2.000000e+01	2.500000e+01	2.030000e+02	1.710000e+01	1.710000e+01
2.500000e+01	3.000000e+01	1.651000e+02	1.380000e+01	1.380000e+01
3.000000e+01	3.500000e+01	1.330000e+02	1.110000e+01	1.110000e+01
3.500000e+01	4.000000e+01	1.059000e+02	8.760000e+00	8.760000e+00
4.000000e+01	4.500000e+01	8.300000e+01	6.830000e+00	6.830000e+00
4.500000e+01	5.000000e+01	6.390000e+01	5.240000e+00	5.240000e+00
5.000000e+01	5.500000e+01	4.840000e+01	3.950000e+00	3.950000e+00
5.500000e+01	6.000000e+01	3.580000e+01	2.920000e+00	2.920000e+00
# END HISTO1D


# BEGIN HISTO1D //Users/ejiro/RIVETAnalyses/PHENIX_2016_I1394433/Rivet_AUAU_62.yoda/PHENIX_2016_I1394433:cent=GEN/d06-x01-y03
LineColor=red
LineStyle=solid
Path=//Users/ejiro/RIVETAnalyses/PHENIX_2016_I1394433/Rivet_AUAU_62.yoda/PHENIX_2016_I1394433:cent=GEN/d06-x01-y03
Title=Rivet_AUAU_62
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	2.783001e+02	5.758802e+00	5.758802e+00
5.000000e+00	1.000000e+01	2.735714e+02	8.070693e+00	8.070693e+00
1.000000e+01	1.500000e+01	2.767892e+02	5.737162e+00	5.737162e+00
1.500000e+01	2.000000e+01	2.406278e+02	5.600721e+00	5.600721e+00
2.000000e+01	2.500000e+01	1.948473e+02	5.171453e+00	5.171453e+00
2.500000e+01	3.000000e+01	1.736645e+02	3.739796e+00	3.739796e+00
3.000000e+01	3.500000e+01	1.967440e+02	3.110063e+00	3.110063e+00
3.500000e+01	4.000000e+01	nan	nan	nan
4.000000e+01	4.500000e+01	1.745494e+02	2.481127e+00	2.481127e+00
4.500000e+01	5.000000e+01	1.441354e+02	4.333515e+00	4.333515e+00
5.000000e+01	5.500000e+01	nan	nan	nan
5.500000e+01	6.000000e+01	2.100000e+02	7.071065e+00	7.071065e+00
# END HISTO1D

