# BEGIN PLOT
Legend=1
LogY=1
Title=[Insert title for histogram d01-x01-y01 here]
XLabel=[Insert $x$-axis label for histogram d01-x01-y01 here]
YLabel=[Insert $y$-axis label for histogram d01-x01-y01 here]
DrawOnly=/PHENIX_2018_1672859/d01-x01-y01 //direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d01-x01-y01
LegendOnly=/PHENIX_2018_1672859/d01-x01-y01 //direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d01-x01-y01
RatioPlot=1
RatioPlotReference=/PHENIX_2018_1672859/d01-x01-y01
# END PLOT

# BEGIN HISTO1D /PHENIX_2018_1672859/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2018_1672859/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.500000e+00	5.240061e-01	3.784566e-02	3.784566e-02
1.500000e+00	2.000000e+00	9.060204e-02	6.775679e-03	6.775679e-03
2.000000e+00	2.500000e+00	1.829509e-02	1.446170e-03	1.446170e-03
2.500000e+00	3.000000e+00	4.407103e-03	3.477614e-04	3.477614e-04
3.000000e+00	3.500000e+00	1.253962e-03	1.057869e-04	1.057869e-04
3.500000e+00	4.000000e+00	3.987261e-04	3.612405e-05	3.612405e-05
4.000000e+00	4.500000e+00	1.448726e-04	1.312402e-05	1.312402e-05
4.500000e+00	5.000000e+00	5.801032e-05	5.253704e-06	5.253704e-06
5.000000e+00	5.500000e+00	2.631398e-05	2.564829e-06	2.564829e-06
5.500000e+00	6.000000e+00	1.240795e-05	1.209574e-06	1.209574e-06
6.000000e+00	6.500000e+00	6.331709e-06	6.174526e-07	6.174526e-07
6.500000e+00	7.000000e+00	3.367263e-06	3.285667e-07	3.285667e-07
7.000000e+00	7.500000e+00	1.912208e-06	1.867491e-07	1.867491e-07
7.500000e+00	8.000000e+00	1.099707e-06	1.075463e-07	1.075463e-07
8.000000e+00	8.500000e+00	6.714349e-07	7.127266e-08	7.127266e-08
8.500000e+00	9.000000e+00	4.230109e-07	4.515634e-08	4.515634e-08
9.000000e+00	9.500000e+00	2.634574e-07	2.807223e-08	2.807223e-08
9.500000e+00	1.000000e+01	1.823898e-07	1.948869e-08	1.948869e-08
1.000000e+01	1.200000e+01	6.783677e-08	7.783545e-09	7.783545e-09
1.200000e+01	1.400000e+01	1.905459e-08	2.282653e-09	2.282653e-09
1.400000e+01	1.600000e+01	6.200235e-09	7.913588e-10	7.913588e-10
1.600000e+01	1.800000e+01	2.223254e-09	3.212051e-10	3.212051e-10
1.800000e+01	2.000000e+01	8.200898e-10	1.104382e-10	1.104382e-10
# END HISTO1D


# BEGIN HISTO1D //direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d01-x01-y01
LineColor=red
LineStyle=solid
Path=//direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d01-x01-y01
ScaledBy=6.49772363714478442e-05
Title=Rivet_final
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.500000e+00	6.296374e-02	6.064530e-04	6.064530e-04
1.500000e+00	2.000000e+00	1.384569e-02	2.824873e-04	2.824873e-04
2.000000e+00	2.500000e+00	4.293642e-03	1.546199e-04	1.546199e-04
2.500000e+00	3.000000e+00	1.801869e-03	9.746556e-05	9.746556e-05
3.000000e+00	3.500000e+00	1.008913e-03	7.141795e-05	7.141795e-05
3.500000e+00	4.000000e+00	7.104992e-04	5.928025e-05	5.928025e-05
4.000000e+00	4.500000e+00	4.971904e-04	5.146334e-05	5.146334e-05
4.500000e+00	5.000000e+00	3.339376e-04	3.957308e-05	3.957308e-05
5.000000e+00	5.500000e+00	2.545772e-04	3.582178e-05	3.582178e-05
5.500000e+00	6.000000e+00	2.332308e-04	3.143458e-05	3.143458e-05
6.000000e+00	6.500000e+00	1.255069e-04	2.387639e-05	2.387639e-05
6.500000e+00	7.000000e+00	1.599337e-04	2.780205e-05	2.780205e-05
7.000000e+00	7.500000e+00	1.164234e-04	2.492212e-05	2.492212e-05
7.500000e+00	8.000000e+00	1.188962e-04	2.356127e-05	2.356127e-05
8.000000e+00	8.500000e+00	1.196310e-04	2.419950e-05	2.419950e-05
8.500000e+00	9.000000e+00	7.388748e-05	2.000881e-05	2.000881e-05
9.000000e+00	9.500000e+00	6.316888e-05	1.805290e-05	1.805290e-05
9.500000e+00	1.000000e+01	5.890038e-05	1.503382e-05	1.503382e-05
1.000000e+01	1.200000e+01	5.313890e-05	8.156355e-06	8.156355e-06
1.200000e+01	1.400000e+01	2.625849e-05	5.397585e-06	5.397585e-06
1.400000e+01	1.600000e+01	1.447524e-05	3.919402e-06	3.919402e-06
1.600000e+01	1.800000e+01	1.598366e-05	4.658729e-06	4.658729e-06
1.800000e+01	2.000000e+01	1.321281e-05	3.986684e-06	3.986684e-06
# END HISTO1D

