# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=/PHENIX_2018_1672859/d13-x01-y01 //direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d13-x01-y01
LegendOnly=/PHENIX_2018_1672859/d13-x01-y01 //direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d13-x01-y01
RatioPlot=1
RatioPlotReference=/PHENIX_2018_1672859/d13-x01-y01
# END PLOT

# BEGIN HISTO1D /PHENIX_2018_1672859/d13-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/PHENIX_2018_1672859/d13-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.500000e+00	3.780000e-01	5.762812e-02	5.762812e-02
2.500000e+00	3.000000e+00	4.790000e-01	7.050532e-02	7.050532e-02
3.000000e+00	3.500000e+00	4.620000e-01	7.321885e-02	7.321885e-02
3.500000e+00	4.000000e+00	4.630000e-01	7.846018e-02	7.846018e-02
4.000000e+00	4.500000e+00	4.860000e-01	8.079604e-02	8.079604e-02
4.500000e+00	5.000000e+00	5.140000e-01	8.376754e-02	8.376754e-02
5.000000e+00	6.000000e+00	4.620000e-01	8.165170e-02	8.165170e-02
6.000000e+00	7.000000e+00	4.980000e-01	8.616844e-02	8.616844e-02
7.000000e+00	8.000000e+00	5.070000e-01	8.878626e-02	8.878626e-02
8.000000e+00	9.000000e+00	4.930000e-01	9.487360e-02	9.487360e-02
9.000000e+00	1.000000e+01	5.170000e-01	1.014101e-01	1.014101e-01
1.000000e+01	1.200000e+01	5.230000e-01	1.112969e-01	1.112969e-01
1.200000e+01	1.400000e+01	5.270000e-01	1.163142e-01	1.163142e-01
1.400000e+01	1.600000e+01	5.110000e-01	1.216676e-01	1.216676e-01
1.600000e+01	1.800000e+01	5.140000e-01	1.377280e-01	1.377280e-01
1.800000e+01	2.000000e+01	5.320000e-01	1.651726e-01	1.651726e-01
# END HISTO1D


# BEGIN HISTO1D //direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d13-x01-y01
LineColor=red
LineStyle=solid
Path=//direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d13-x01-y01
Title=Rivet_final
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.500000e+00	2.947263e-01	2.233453e-02	2.233453e-02
2.500000e+00	3.000000e+00	2.597791e-01	3.116366e-02	3.116366e-02
3.000000e+00	3.500000e+00	2.737670e-01	4.274043e-02	4.274043e-02
3.500000e+00	4.000000e+00	1.613183e-01	3.633868e-02	3.633868e-02
4.000000e+00	4.500000e+00	2.138689e-01	4.880882e-02	4.880882e-02
4.500000e+00	5.000000e+00	2.858877e-01	7.492537e-02	7.492537e-02
5.000000e+00	6.000000e+00	2.286270e-01	4.867444e-02	4.867444e-02
6.000000e+00	7.000000e+00	3.121159e-01	7.584143e-02	7.584143e-02
7.000000e+00	8.000000e+00	1.750361e-01	6.856445e-02	6.856445e-02
8.000000e+00	9.000000e+00	3.074224e-01	9.653779e-02	9.653779e-02
9.000000e+00	1.000000e+01	3.559313e-01	1.378330e-01	1.378330e-01
1.000000e+01	1.200000e+01	1.581614e-01	6.680722e-02	6.680722e-02
1.200000e+01	1.400000e+01	3.706667e-01	1.475646e-01	1.475646e-01
1.400000e+01	1.600000e+01	4.810563e-01	2.351052e-01	2.351052e-01
1.600000e+01	1.800000e+01	4.188040e-01	2.125030e-01	2.125030e-01
1.800000e+01	2.000000e+01	1.567166e-01	1.084808e-01	1.084808e-01
# END HISTO1D

