# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d13-x01-y01_eta_mb
LegendOnly=//direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d13-x01-y01_eta_mb
# END PLOT

# BEGIN HISTO1D //direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d13-x01-y01_eta_mb
LineColor=red
LineStyle=solid
Path=//direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d13-x01-y01_eta_mb
Title=Rivet_final
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.500000e+00	1.947527e+01	1.298560e+00	1.298560e+00
2.500000e+00	3.000000e+00	7.203874e+00	7.713544e-01	7.713544e-01
3.000000e+00	3.500000e+00	4.250826e+00	5.915000e-01	5.915000e-01
3.500000e+00	4.000000e+00	1.763948e+00	3.690874e-01	3.690874e-01
4.000000e+00	4.500000e+00	1.636474e+00	3.328513e-01	3.328513e-01
4.500000e+00	5.000000e+00	1.469263e+00	3.434511e-01	3.434511e-01
5.000000e+00	6.000000e+00	8.581932e-01	1.623342e-01	1.623342e-01
6.000000e+00	7.000000e+00	6.855519e-01	1.414315e-01	1.414315e-01
7.000000e+00	8.000000e+00	3.169529e-01	1.152420e-01	1.152420e-01
8.000000e+00	9.000000e+00	4.577905e-01	1.230789e-01	1.230789e-01
9.000000e+00	1.000000e+01	3.343346e-01	1.123483e-01	1.123483e-01
1.000000e+01	1.200000e+01	1.293457e-01	5.090064e-02	5.090064e-02
1.200000e+01	1.400000e+01	1.497932e-01	5.106939e-02	5.106939e-02
1.400000e+01	1.600000e+01	1.071668e-01	4.360251e-02	4.360251e-02
1.600000e+01	1.800000e+01	1.030211e-01	4.278852e-02	4.278852e-02
1.800000e+01	2.000000e+01	3.186757e-02	1.985312e-02	1.985312e-02
# END HISTO1D

