# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d13-x01-y01_pi0_mb
LegendOnly=//direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d13-x01-y01_pi0_mb
# END PLOT

# BEGIN HISTO1D //direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d13-x01-y01_pi0_mb
LineColor=red
LineStyle=solid
Path=//direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d13-x01-y01_pi0_mb
Title=Rivet_final
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.500000e+00	6.607916e+01	2.379602e+00	2.379602e+00
2.500000e+00	3.000000e+00	2.773078e+01	1.499996e+00	1.499996e+00
3.000000e+00	3.500000e+00	1.552717e+01	1.099123e+00	1.099123e+00
3.500000e+00	4.000000e+00	1.093459e+01	9.123234e-01	9.123234e-01
4.000000e+00	4.500000e+00	7.651762e+00	7.920210e-01	7.920210e-01
4.500000e+00	5.000000e+00	5.139302e+00	6.090299e-01	6.090299e-01
5.000000e+00	6.000000e+00	3.753683e+00	3.667322e-01	3.667322e-01
6.000000e+00	7.000000e+00	2.196466e+00	2.820023e-01	2.820023e-01
7.000000e+00	8.000000e+00	1.810786e+00	2.639112e-01	2.639112e-01
8.000000e+00	9.000000e+00	1.489125e+00	2.416241e-01	2.416241e-01
9.000000e+00	1.000000e+01	9.393234e-01	1.807790e-01	1.807790e-01
1.000000e+01	1.200000e+01	8.178075e-01	1.255263e-01	1.255263e-01
1.200000e+01	1.400000e+01	4.041183e-01	8.306887e-02	8.306887e-02
1.400000e+01	1.600000e+01	2.227739e-01	6.031963e-02	6.031963e-02
1.600000e+01	1.800000e+01	2.459887e-01	7.169786e-02	7.169786e-02
1.800000e+01	2.000000e+01	2.033453e-01	6.135509e-02	6.135509e-02
# END HISTO1D

