# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d23-x01-y01_pp
LegendOnly=//direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d23-x01-y01_pp
# END PLOT

# BEGIN HISTO1D //direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d23-x01-y01_pp
LineColor=red
LineStyle=solid
Path=//direct/phenix+u/workarea/slokos/RIVETAnalyses/PHENIX_2018_1672859/Rivet_final.yoda/PHENIX_2018_1672859:cent=GEN/d23-x01-y01_pp
Title=Rivet_final
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+00	2.500000e+00	4.189730e+00	1.686146e-02	1.686146e-02
2.500000e+00	3.000000e+00	2.809534e+00	1.365858e-02	1.365858e-02
3.000000e+00	3.500000e+00	2.069146e+00	1.160257e-02	1.160257e-02
3.500000e+00	4.000000e+00	1.612869e+00	1.023178e-02	1.023178e-02
4.000000e+00	4.500000e+00	1.287473e+00	9.117829e-03	9.117829e-03
4.500000e+00	5.000000e+00	1.054947e+00	8.278473e-03	8.278473e-03
5.000000e+00	6.000000e+00	8.294587e-01	5.196288e-03	5.196288e-03
6.000000e+00	7.000000e+00	5.939973e-01	4.424312e-03	4.424312e-03
7.000000e+00	8.000000e+00	4.473138e-01	3.818416e-03	3.818416e-03
8.000000e+00	9.000000e+00	3.361906e-01	3.308497e-03	3.308497e-03
9.000000e+00	1.000000e+01	2.600070e-01	2.951609e-03	2.951609e-03
1.000000e+01	1.200000e+01	1.840588e-01	1.755479e-03	1.755479e-03
1.200000e+01	1.400000e+01	1.167438e-01	1.389614e-03	1.389614e-03
1.400000e+01	1.600000e+01	7.480925e-02	1.089227e-03	1.089227e-03
1.600000e+01	1.800000e+01	5.237355e-02	9.086125e-04	9.086125e-04
# END HISTO1D

