# BEGIN PLOT
Legend=1
LogY=1
Title=[Insert title for histogram d01-x01-y01 here]
XLabel=[Insert $x$-axis label for histogram d01-x01-y01 here]
YLabel=[Insert $y$-axis label for histogram d01-x01-y01 here]
DrawOnly=/STAR_2009_I793126/d01-x01-y01 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d01-x01-y01
LegendOnly=/STAR_2009_I793126/d01-x01-y01 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d01-x01-y01
RatioPlot=1
RatioPlotReference=/STAR_2009_I793126/d01-x01-y01
# END PLOT

# BEGIN HISTO1D /STAR_2009_I793126/d01-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2009_I793126/d01-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
2.500000e+00	2.500000e+00	5.071800e-02	2.252060e-01	2.252060e-01
7.500000e+00	7.500000e+00	6.254900e-02	2.500980e-01	2.500980e-01
1.250000e+01	1.250000e+01	4.815100e-02	2.194340e-01	2.194340e-01
1.750000e+01	1.750000e+01	3.844200e-02	1.960660e-01	1.960660e-01
2.250000e+01	2.250000e+01	3.195300e-02	1.787540e-01	1.787540e-01
2.750000e+01	2.750000e+01	2.776300e-02	1.666220e-01	1.666220e-01
3.250000e+01	3.250000e+01	2.467800e-02	1.570940e-01	1.570940e-01
3.750000e+01	3.750000e+01	2.215900e-02	1.488590e-01	1.488590e-01
4.250000e+01	4.250000e+01	2.053900e-02	1.433150e-01	1.433150e-01
4.750000e+01	4.750000e+01	1.864500e-02	1.365460e-01	1.365460e-01
5.250000e+01	5.250000e+01	1.734800e-02	1.317120e-01	1.317120e-01
5.750000e+01	5.750000e+01	1.630600e-02	1.276950e-01	1.276950e-01
6.250000e+01	6.250000e+01	1.548100e-02	1.244230e-01	1.244230e-01
6.750000e+01	6.750000e+01	1.467000e-02	1.211200e-01	1.211200e-01
7.250000e+01	7.250000e+01	1.387400e-02	1.177870e-01	1.177870e-01
7.750000e+01	7.750000e+01	1.322300e-02	1.149910e-01	1.149910e-01
8.250000e+01	8.250000e+01	1.272500e-02	1.128040e-01	1.128040e-01
8.750000e+01	8.750000e+01	1.206600e-02	1.098440e-01	1.098440e-01
9.250000e+01	9.250000e+01	1.175800e-02	1.084360e-01	1.084360e-01
9.750000e+01	9.750000e+01	1.136100e-02	1.065880e-01	1.065880e-01
1.025000e+02	1.025000e+02	1.084700e-02	1.041480e-01	1.041480e-01
1.075000e+02	1.075000e+02	1.067700e-02	1.033310e-01	1.033310e-01
1.125000e+02	1.125000e+02	1.031000e-02	1.015360e-01	1.015360e-01
1.175000e+02	1.175000e+02	1.002900e-02	1.001460e-01	1.001460e-01
1.225000e+02	1.225000e+02	9.690000e-03	9.843500e-02	9.843500e-02
1.275000e+02	1.275000e+02	9.347000e-03	9.668000e-02	9.668000e-02
1.325000e+02	1.325000e+02	9.063000e-03	9.519900e-02	9.519900e-02
1.375000e+02	1.375000e+02	8.897000e-03	9.432400e-02	9.432400e-02
1.425000e+02	1.425000e+02	8.699000e-03	9.326800e-02	9.326800e-02
1.475000e+02	1.475000e+02	8.487000e-03	9.212300e-02	9.212300e-02
1.525000e+02	1.525000e+02	8.310000e-03	9.116200e-02	9.116200e-02
1.575000e+02	1.575000e+02	8.134000e-03	9.019000e-02	9.019000e-02
1.625000e+02	1.625000e+02	8.016000e-03	8.953100e-02	8.953100e-02
1.675000e+02	1.675000e+02	7.906000e-03	8.891600e-02	8.891600e-02
1.725000e+02	1.725000e+02	7.654000e-03	8.748500e-02	8.748500e-02
1.775000e+02	1.775000e+02	7.496000e-03	8.658000e-02	8.658000e-02
1.825000e+02	1.825000e+02	7.329000e-03	8.561100e-02	8.561100e-02
1.875000e+02	1.875000e+02	7.135000e-03	8.446900e-02	8.446900e-02
1.925000e+02	1.925000e+02	7.082000e-03	8.415700e-02	8.415700e-02
1.975000e+02	1.975000e+02	7.000000e-03	8.366600e-02	8.366600e-02
2.025000e+02	2.025000e+02	6.824000e-03	8.261000e-02	8.261000e-02
2.075000e+02	2.075000e+02	6.732000e-03	8.205000e-02	8.205000e-02
2.125000e+02	2.125000e+02	6.573000e-03	8.107100e-02	8.107100e-02
2.175000e+02	2.175000e+02	6.469000e-03	8.042900e-02	8.042900e-02
