# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=/STAR_2009_I793126/d04-x01-y01 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d04-x01-y01
LegendOnly=/STAR_2009_I793126/d04-x01-y01 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d04-x01-y01
RatioPlot=1
RatioPlotReference=/STAR_2009_I793126/d04-x01-y01
# END PLOT

# BEGIN HISTO1D /STAR_2009_I793126/d04-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2009_I793126/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	0.000000e+00	4.579800e-02	7.700000e-05	7.700000e-05
1.000000e+00	1.000000e+00	7.404600e-02	9.700000e-05	9.700000e-05
2.000000e+00	2.000000e+00	6.509800e-02	8.800000e-05	8.800000e-05
3.000000e+00	3.000000e+00	6.224900e-02	8.500000e-05	8.500000e-05
4.000000e+00	4.000000e+00	6.005200e-02	8.300000e-05	8.300000e-05
5.000000e+00	5.000000e+00	5.781200e-02	8.100000e-05	8.100000e-05
6.000000e+00	6.000000e+00	5.567500e-02	7.900000e-05	7.900000e-05
7.000000e+00	7.000000e+00	5.330900e-02	7.800000e-05	7.800000e-05
8.000000e+00	8.000000e+00	5.118800e-02	7.600000e-05	7.600000e-05
9.000000e+00	9.000000e+00	4.855700e-02	7.400000e-05	7.400000e-05
1.000000e+01	1.000000e+01	4.584500e-02	7.200000e-05	7.200000e-05
1.100000e+01	1.100000e+01	4.295800e-02	7.000000e-05	7.000000e-05
1.200000e+01	1.200000e+01	3.994400e-02	6.700000e-05	6.700000e-05
1.300000e+01	1.300000e+01	3.696700e-02	6.500000e-05	6.500000e-05
1.400000e+01	1.400000e+01	3.377900e-02	6.200000e-05	6.200000e-05
1.500000e+01	1.500000e+01	3.069600e-02	5.900000e-05	5.900000e-05
1.600000e+01	1.600000e+01	2.773500e-02	5.600000e-05	5.600000e-05
1.700000e+01	1.700000e+01	2.473200e-02	5.300000e-05	5.300000e-05
1.800000e+01	1.800000e+01	2.190000e-02	5.000000e-05	5.000000e-05
