# BEGIN PLOT

# END PLOT

# BEGIN HISTO2D //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d18-x01-y03
Path=//lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d18-x01-y03
Title=Rivet
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	2.500000e-02	2.500000e-02	-nan	-nan	-nan
5.000000e-02	1.000000e-01	7.500000e-02	7.500000e-02	-nan	-nan	-nan
1.000000e-01	1.500000e-01	1.250000e-01	1.250000e-01	-nan	-nan	-nan
1.500000e-01	2.000000e-01	1.750000e-01	1.750000e-01	-nan	-nan	-nan
2.000000e-01	2.500000e-01	2.250000e-01	2.250000e-01	-nan	-nan	-nan
2.500000e-01	3.000000e-01	2.750000e-01	2.750000e-01	-nan	-nan	-nan
3.000000e-01	3.500000e-01	3.250000e-01	3.250000e-01	-nan	-nan	-nan
3.500000e-01	4.000000e-01	3.750000e-01	3.750000e-01	-nan	-nan	-nan
4.000000e-01	4.500000e-01	4.250000e-01	4.250000e-01	-nan	-nan	-nan
4.500000e-01	5.000000e-01	4.750000e-01	4.750000e-01	-nan	-nan	-nan
5.000000e-01	5.500000e-01	5.250000e-01	5.250000e-01	-nan	-nan	-nan
5.500000e-01	6.000000e-01	5.750000e-01	5.750000e-01	-nan	-nan	-nan
6.000000e-01	6.500000e-01	6.250000e-01	6.250000e-01	-nan	-nan	-nan
6.500000e-01	7.000000e-01	6.750000e-01	6.750000e-01	-nan	-nan	-nan
7.000000e-01	7.500000e-01	7.250000e-01	7.250000e-01	-nan	-nan	-nan
7.500000e-01	8.000000e-01	7.750000e-01	7.750000e-01	-nan	-nan	-nan
8.000000e-01	8.500000e-01	8.250000e-01	8.250000e-01	-nan	-nan	-nan
8.500000e-01	9.000000e-01	8.750000e-01	8.750000e-01	-nan	-nan	-nan
9.000000e-01	9.500000e-01	9.250000e-01	9.250000e-01	-nan	-nan	-nan
9.500000e-01	1.000000e+00	9.750000e-01	9.750000e-01	-nan	-nan	-nan
1.000000e+00	1.050000e+00	1.025000e+00	1.025000e+00	-nan	-nan	-nan
1.050000e+00	1.100000e+00	1.075000e+00	1.075000e+00	-nan	-nan	-nan
1.100000e+00	1.150000e+00	1.125000e+00	1.125000e+00	-nan	-nan	-nan
1.150000e+00	1.200000e+00	1.175000e+00	1.175000e+00	-nan	-nan	-nan
1.200000e+00	1.250000e+00	1.225000e+00	1.225000e+00	-nan	-nan	-nan
1.250000e+00	1.300000e+00	1.275000e+00	1.275000e+00	-nan	-nan	-nan
1.300000e+00	1.350000e+00	1.325000e+00	1.325000e+00	-nan	-nan	-nan
1.350000e+00	1.400000e+00	1.375000e+00	1.375000e+00	-nan	-nan	-nan
1.400000e+00	1.450000e+00	1.425000e+00	1.425000e+00	-nan	-nan	-nan
1.450000e+00	1.500000e+00	1.475000e+00	1.475000e+00	-nan	-nan	-nan
1.500000e+00	1.550000e+00	1.525000e+00	1.525000e+00	-nan	-nan	-nan
1.550000e+00	1.600000e+00	1.575000e+00	1.575000e+00	-nan	-nan	-nan
1.600000e+00	1.650000e+00	1.625000e+00	1.625000e+00	-nan	-nan	-nan
1.650000e+00	1.700000e+00	1.675000e+00	1.675000e+00	-nan	-nan	-nan
1.700000e+00	1.750000e+00	1.725000e+00	1.725000e+00	-nan	-nan	-nan
1.750000e+00	1.800000e+00	1.775000e+00	1.775000e+00	-nan	-nan	-nan
1.800000e+00	1.850000e+00	1.825000e+00	1.825000e+00	-nan	-nan	-nan
1.850000e+00	1.900000e+00	1.875000e+00	1.875000e+00	-nan	-nan	-nan
1.900000e+00	1.950000e+00	1.925000e+00	1.925000e+00	-nan	-nan	-nan
1.950000e+00	2.000000e+00	1.975000e+00	1.975000e+00	-nan	-nan	-nan
# END HISTO2D

