# BEGIN PLOT
DrawOnly=/STAR_2009_I793126/d21-x01-y01 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d21-x01-y01
LegendOnly=/STAR_2009_I793126/d21-x01-y01 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d21-x01-y01
# END PLOT

# BEGIN HISTO2D /STAR_2009_I793126/d21-x01-y01
IsRef=1
Path=/STAR_2009_I793126/d21-x01-y01
Title=Data
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	2.500000e-02	2.500000e-02	1.000000e-10	1.000000e-10	1.000000e-10
5.000000e-02	1.000000e-01	7.500000e-02	7.500000e-02	1.000000e-10	1.000000e-10	1.000000e-10
1.000000e-01	1.500000e-01	1.250000e-01	1.250000e-01	8.137000e-02	4.846000e-03	4.846000e-03
1.500000e-01	2.000000e-01	1.750000e-01	1.750000e-01	5.469790e-01	8.854000e-03	8.854000e-03
2.000000e-01	2.500000e-01	2.250000e-01	2.250000e-01	6.452820e-01	8.443000e-03	8.443000e-03
2.500000e-01	3.000000e-01	2.750000e-01	2.750000e-01	6.643030e-01	8.291000e-03	8.291000e-03
3.000000e-01	3.500000e-01	3.250000e-01	3.250000e-01	6.691540e-01	8.297000e-03	8.297000e-03
3.500000e-01	4.000000e-01	3.750000e-01	3.750000e-01	7.009790e-01	8.135000e-03	8.135000e-03
4.000000e-01	4.500000e-01	4.250000e-01	4.250000e-01	6.978960e-01	8.325000e-03	8.325000e-03
4.500000e-01	5.000000e-01	4.750000e-01	4.750000e-01	7.001570e-01	8.119000e-03	8.119000e-03
5.000000e-01	5.500000e-01	5.250000e-01	5.250000e-01	7.030940e-01	8.289000e-03	8.289000e-03
5.500000e-01	6.000000e-01	5.750000e-01	5.750000e-01	7.086220e-01	8.060000e-03	8.060000e-03
6.000000e-01	6.500000e-01	6.250000e-01	6.250000e-01	7.123890e-01	8.047000e-03	8.047000e-03
6.500000e-01	7.000000e-01	6.750000e-01	6.750000e-01	7.139630e-01	8.124000e-03	8.124000e-03
7.000000e-01	7.500000e-01	7.250000e-01	7.250000e-01	7.250550e-01	7.897000e-03	7.897000e-03
7.500000e-01	8.000000e-01	7.750000e-01	7.750000e-01	7.270720e-01	7.908000e-03	7.908000e-03
8.000000e-01	8.500000e-01	8.250000e-01	8.250000e-01	7.211350e-01	8.099000e-03	8.099000e-03
8.500000e-01	9.000000e-01	8.750000e-01	8.750000e-01	7.322860e-01	7.771000e-03	7.771000e-03
9.000000e-01	9.500000e-01	9.250000e-01	9.250000e-01	7.345780e-01	7.854000e-03	7.854000e-03
9.500000e-01	1.000000e+00	9.750000e-01	9.750000e-01	7.445650e-01	7.798000e-03	7.798000e-03
1.000000e+00	1.050000e+00	1.025000e+00	1.025000e+00	7.346870e-01	7.927000e-03	7.927000e-03
1.050000e+00	1.100000e+00	1.075000e+00	1.075000e+00	7.589860e-01	7.662000e-03	7.662000e-03
1.100000e+00	1.150000e+00	1.125000e+00	1.125000e+00	7.349780e-01	7.849000e-03	7.849000e-03
1.150000e+00	1.200000e+00	1.175000e+00	1.175000e+00	7.420060e-01	7.747000e-03	7.747000e-03
1.200000e+00	1.250000e+00	1.225000e+00	1.225000e+00	7.415410e-01	7.749000e-03	7.749000e-03
1.250000e+00	1.300000e+00	1.275000e+00	1.275000e+00	7.598620e-01	7.558000e-03	7.558000e-03
1.300000e+00	1.350000e+00	1.325000e+00	1.325000e+00	7.516090e-01	7.750000e-03	7.750000e-03
1.350000e+00	1.400000e+00	1.375000e+00	1.375000e+00	7.576940e-01	7.712000e-03	7.712000e-03
1.400000e+00	1.450000e+00	1.425000e+00	1.425000e+00	7.673550e-01	7.471000e-03	7.471000e-03
1.450000e+00	1.500000e+00	1.475000e+00	1.475000e+00	7.582560e-01	7.666000e-03	7.666000e-03
1.500000e+00	1.550000e+00	1.525000e+00	1.525000e+00	7.696000e-01	7.533000e-03	7.533000e-03
1.550000e+00	1.600000e+00	1.575000e+00	1.575000e+00	7.644690e-01	7.465000e-03	7.465000e-03
1.600000e+00	1.650000e+00	1.625000e+00	1.625000e+00	7.522350e-01	7.714000e-03	7.714000e-03
1.650000e+00	1.700000e+00	1.675000e+00	1.675000e+00	7.519480e-01	7.624000e-03	7.624000e-03
1.700000e+00	1.750000e+00	1.725000e+00	1.725000e+00	7.669010e-01	7.395000e-03	7.395000e-03
1.750000e+00	1.800000e+00	1.775000e+00	1.775000e+00	7.716890e-01	7.323000e-03	7.323000e-03
1.800000e+00	1.850000e+00	1.825000e+00	1.825000e+00	7.842470e-01	7.258000e-03	7.258000e-03
1.850000e+00	1.900000e+00	1.875000e+00	1.875000e+00	7.690640e-01	7.420000e-03	7.420000e-03
1.900000e+00	1.950000e+00	1.925000e+00	1.925000e+00	7.700230e-01	7.547000e-03	7.547000e-03
1.950000e+00	2.000000e+00	1.975000e+00	1.975000e+00	7.758780e-01	7.419000e-03	7.419000e-03
# END HISTO2D

