# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=/STAR_2009_I793126/d29-x01-y04 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d29-x01-y04
LegendOnly=/STAR_2009_I793126/d29-x01-y04 //lustre/haven/proj/UTK0019/chughe26/RIVETAnalyses/STAR_2009_I793126/Rivet.yoda/STAR_2009_I793126:beam=dAU200:cent=GEN/d29-x01-y04
RatioPlot=1
RatioPlotReference=/STAR_2009_I793126/d29-x01-y04
# END PLOT

# BEGIN HISTO1D /STAR_2009_I793126/d29-x01-y04
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2009_I793126/d29-x01-y04
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-02	4.000000e-02	7.113500e-02	2.283000e-03	2.283000e-03
1.200000e-01	1.200000e-01	1.997060e-01	3.825000e-03	3.825000e-03
2.000000e-01	2.000000e-01	2.775810e-01	4.509000e-03	4.509000e-03
2.800000e-01	2.800000e-01	2.842480e-01	4.563000e-03	4.563000e-03
3.600000e-01	3.600000e-01	2.638080e-01	4.396000e-03	4.396000e-03
4.400000e-01	4.400000e-01	2.319400e-01	4.122000e-03	4.122000e-03
5.200000e-01	5.200000e-01	1.892300e-01	3.723000e-03	3.723000e-03
6.000000e-01	6.000000e-01	1.486440e-01	3.300000e-03	3.300000e-03
6.800000e-01	6.800000e-01	1.197070e-01	2.961000e-03	2.961000e-03
7.600000e-01	7.600000e-01	9.458000e-02	2.632000e-03	2.632000e-03
8.400000e-01	8.400000e-01	8.234900e-02	2.456000e-03	2.456000e-03
9.200000e-01	9.200000e-01	6.851400e-02	2.240000e-03	2.240000e-03
1.000000e+00	1.000000e+00	5.667100e-02	2.037000e-03	2.037000e-03
1.080000e+00	1.080000e+00	5.152100e-02	1.941000e-03	1.941000e-03
1.160000e+00	1.160000e+00	4.560300e-02	1.824000e-03	1.824000e-03
1.240000e+00	1.240000e+00	4.010300e-02	1.707000e-03	1.707000e-03
1.320000e+00	1.320000e+00	3.767300e-02	1.650000e-03	1.650000e-03
1.400000e+00	1.400000e+00	3.494900e-02	1.581000e-03	1.581000e-03
1.480000e+00	1.480000e+00	3.259400e-02	1.517000e-03	1.517000e-03
1.560000e+00	1.560000e+00	2.643000e-02	1.349000e-03	1.349000e-03
1.640000e+00	1.640000e+00	2.729200e-02	1.359000e-03	1.359000e-03
1.720000e+00	1.720000e+00	2.623000e-02	1.315000e-03	1.315000e-03
1.800000e+00	1.800000e+00	2.462400e-02	1.252000e-03	1.252000e-03
1.880000e+00	1.880000e+00	2.223800e-02	1.161000e-03	1.161000e-03
1.960000e+00	1.960000e+00	2.250200e-02	1.149000e-03	1.149000e-03
2.040000e+00	2.040000e+00	2.188500e-02	1.109000e-03	1.109000e-03
2.120000e+00	2.120000e+00	2.191500e-02	1.089000e-03	1.089000e-03
2.200000e+00	2.200000e+00	2.258400e-02	1.092000e-03	1.092000e-03
2.280000e+00	2.280000e+00	1.868100e-02	9.300000e-04	9.300000e-04
2.360000e+00	2.360000e+00	1.877500e-02	9.120000e-04	9.120000e-04
2.440000e+00	2.440000e+00	1.971100e-02	9.300000e-04	9.300000e-04
2.520000e+00	2.520000e+00	1.973000e-02	9.120000e-04	9.120000e-04
2.600000e+00	2.600000e+00	1.685400e-02	7.680000e-04	7.680000e-04
2.680000e+00	2.680000e+00	1.862800e-02	8.320000e-04	8.320000e-04
2.760000e+00	2.760000e+00	1.655700e-02	7.180000e-04	7.180000e-04
2.840000e+00	2.840000e+00	1.811400e-02	7.790000e-04	7.790000e-04
2.920000e+00	2.920000e+00	1.736800e-02	7.290000e-04	7.290000e-04
3.000000e+00	3.000000e+00	1.622600e-02	6.550000e-04	6.550000e-04
3.080000e+00	3.080000e+00	1.718100e-02	6.950000e-04	6.950000e-04
3.160000e+00	3.160000e+00	1.715800e-02	6.830000e-04	6.830000e-04
3.240000e+00	3.240000e+00	1.682000e-02	6.550000e-04	6.550000e-04
3.320000e+00	3.320000e+00	1.594900e-02	5.950000e-04	5.950000e-04
3.400000e+00	3.400000e+00	1.571900e-02	5.720000e-04	5.720000e-04
3.480000e+00	3.480000e+00	1.569300e-02	5.630000e-04	5.630000e-04
3.560000e+00	3.560000e+00	1.469900e-02	4.860000e-04	4.860000e-04
3.640000e+00	3.640000e+00	1.618400e-02	5.810000e-04	5.810000e-04
3.720000e+00	3.720000e+00	1.611900e-02	5.720000e-04	5.720000e-04
3.800000e+00	3.800000e+00	1.487100e-02	4.800000e-04	4.800000e-04
3.880000e+00	3.880000e+00	1.515400e-02	4.970000e-04	4.970000e-04
3.960000e+00	3.960000e+00	1.476900e-02	4.630000e-04	4.630000e-04
4.040000e+00	4.040000e+00	1.445000e-02	4.330000e-04	4.330000e-04
4.120000e+00	4.120000e+00	1.485800e-02	4.630000e-04	4.630000e-04
4.200000e+00	4.200000e+00	1.445500e-02	4.270000e-04	4.270000e-04
4.280000e+00	4.280000e+00	1.434000e-02	4.140000e-04	4.140000e-04
4.360000e+00	4.360000e+00	1.422200e-02	4.010000e-04	4.010000e-04
4.440000e+00	4.440000e+00	1.366000e-02	3.440000e-04	3.440000e-04
4.520000e+00	4.520000e+00	1.470700e-02	4.400000e-04	4.400000e-04
4.600000e+00	4.600000e+00	1.494500e-02	4.580000e-04	4.580000e-04
4.680000e+00	4.680000e+00	1.408200e-02	3.810000e-04	3.810000e-04
4.760000e+00	4.760000e+00	1.314300e-02	2.740000e-04	2.740000e-04
4.840000e+00	4.840000e+00	1.366900e-02	3.360000e-04	3.360000e-04
4.920000e+00	4.920000e+00	1.397200e-02	3.660000e-04	3.660000e-04
5.000000e+00	5.000000e+00	1.427500e-02	3.950000e-04	3.950000e-04
5.080000e+00	5.080000e+00	1.377000e-02	3.440000e-04	3.440000e-04
5.160000e+00	5.160000e+00	1.385000e-02	3.510000e-04	3.510000e-04
5.240000e+00	5.240000e+00	1.356300e-02	3.190000e-04	3.190000e-04
5.320000e+00	5.320000e+00	1.320200e-02	2.740000e-04	2.740000e-04
5.400000e+00	5.400000e+00	1.320700e-02	2.740000e-04	2.740000e-04
5.480000e+00	5.480000e+00	1.343100e-02	3.020000e-04	3.020000e-04
5.560000e+00	5.560000e+00	1.292200e-02	2.320000e-04	2.320000e-04
5.640000e+00	5.640000e+00	1.373100e-02	3.360000e-04	3.360000e-04
5.720000e+00	5.720000e+00	1.307400e-02	2.540000e-04	2.540000e-04
5.800000e+00	5.800000e+00	1.329600e-02	2.840000e-04	2.840000e-04
5.880000e+00	5.880000e+00	1.315200e-02	2.640000e-04	2.640000e-04
5.960000e+00	5.960000e+00	1.322700e-02	2.740000e-04	2.740000e-04
6.040000e+00	6.040000e+00	1.300800e-02	2.430000e-04	2.430000e-04
