# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=/STAR_2010_I840766/d01-x01-y02 //direct/star+u/truhlar/Rivet/RIVETAnalyses/STAR_2010_I840766/Rivet_pp.yoda/STAR_2010_I840766:beam=pp:cent=GEN/d01-x01-y02
LegendOnly=/STAR_2010_I840766/d01-x01-y02 //direct/star+u/truhlar/Rivet/RIVETAnalyses/STAR_2010_I840766/Rivet_pp.yoda/STAR_2010_I840766:beam=pp:cent=GEN/d01-x01-y02
RatioPlot=1
RatioPlotReference=/STAR_2010_I840766/d01-x01-y02
Title=Cross section for $\pi^0$ production in pp at $\sqrt{s_{NN}}$ = 200 GeV
XLabel=$p_T$ (GeV/$c$)
YLabel=Cross section (mb GeV$^{-2}c^3$)
# END PLOT

# BEGIN HISTO1D /STAR_2010_I840766/d01-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2010_I840766/d01-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.500000e+00	2.590000e-01	3.949785e-02	3.949785e-02
1.500000e+00	2.000000e+00	4.830000e-02	9.936458e-03	9.936458e-03
2.000000e+00	2.500000e+00	1.190000e-02	3.006314e-03	3.006314e-03
2.500000e+00	3.000000e+00	3.640000e-03	1.073916e-03	1.073916e-03
3.000000e+00	4.000000e+00	4.380000e-04	1.597167e-04	1.597167e-04
4.000000e+00	5.000000e+00	6.720000e-05	2.443392e-05	2.443392e-05
5.000000e+00	6.000000e+00	1.400000e-05	2.805577e-06	2.805577e-06
6.000000e+00	7.000000e+00	3.730000e-06	7.186877e-07	7.186877e-07
7.000000e+00	8.000000e+00	1.180000e-06	2.681368e-07	2.681368e-07
8.000000e+00	1.000000e+01	3.080000e-07	7.889956e-08	7.889956e-08
1.000000e+01	1.200000e+01	7.920000e-08	2.475115e-08	2.475115e-08
1.200000e+01	1.400000e+01	2.130000e-08	8.075450e-09	8.075450e-09
1.400000e+01	1.700000e+01	5.110000e-09	2.315677e-09	2.315677e-09
# END HISTO1D


# BEGIN HISTO1D //direct/star+u/truhlar/Rivet/RIVETAnalyses/STAR_2010_I840766/Rivet_pp.yoda/STAR_2010_I840766:beam=pp:cent=GEN/d01-x01-y02
LineColor=red
LineStyle=solid
Path=//direct/star+u/truhlar/Rivet/RIVETAnalyses/STAR_2010_I840766/Rivet_pp.yoda/STAR_2010_I840766:beam=pp:cent=GEN/d01-x01-y02
ScaledBy=2.00000000000000004e-03
Title=Rivet_pp
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.500000e+00	7.600000e-02	1.743560e-02	1.743560e-02
1.500000e+00	2.000000e+00	8.000000e-03	5.656854e-03	5.656854e-03
2.000000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+00	3.000000e+00	4.000000e-03	4.000000e-03	4.000000e-03
3.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+01	1.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

