# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=/STAR_2010_I840766/d03-x01-y02 //direct/star+u/truhlar/Rivet/RIVETAnalyses/STAR_2010_I840766/Rivet_pp.yoda/STAR_2010_I840766:beam=pp:cent=GEN/d03-x01-y02
LegendOnly=/STAR_2010_I840766/d03-x01-y02 //direct/star+u/truhlar/Rivet/RIVETAnalyses/STAR_2010_I840766/Rivet_pp.yoda/STAR_2010_I840766:beam=pp:cent=GEN/d03-x01-y02
RatioPlot=1
RatioPlotReference=/STAR_2010_I840766/d03-x01-y02
# END PLOT

# BEGIN HISTO1D /STAR_2010_I840766/d03-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2010_I840766/d03-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.500000e+00	2.830000e-01	1.097725e-01	1.097725e-01
1.500000e+00	2.000000e+00	3.640000e-01	1.083421e-01	1.083421e-01
2.000000e+00	2.500000e+00	5.830000e-01	1.371022e-01	1.371022e-01
2.500000e+00	3.000000e+00	3.670000e-01	1.483543e-01	1.483543e-01
3.000000e+00	4.000000e+00	1.310000e-01	2.411327e-01	2.411327e-01
4.000000e+00	5.000000e+00	6.110000e-01	7.128113e-02	7.128113e-02
5.000000e+00	6.000000e+00	4.730000e-01	5.700877e-02	5.700877e-02
6.000000e+00	7.000000e+00	5.690000e-01	7.963040e-02	7.963040e-02
7.000000e+00	8.000000e+00	3.850000e-01	4.951767e-02	4.951767e-02
8.000000e+00	1.000000e+01	3.700000e-01	5.590170e-02	5.590170e-02
1.000000e+01	1.200000e+01	4.890000e-01	8.786353e-02	8.786353e-02
1.200000e+01	1.400000e+01	3.720000e-01	1.415097e-01	1.415097e-01
# END HISTO1D


# BEGIN HISTO1D //direct/star+u/truhlar/Rivet/RIVETAnalyses/STAR_2010_I840766/Rivet_pp.yoda/STAR_2010_I840766:beam=pp:cent=GEN/d03-x01-y02
LineColor=red
LineStyle=solid
Path=//direct/star+u/truhlar/Rivet/RIVETAnalyses/STAR_2010_I840766/Rivet_pp.yoda/STAR_2010_I840766:beam=pp:cent=GEN/d03-x01-y02
Title=Rivet_pp
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

