# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=/STAR_2010_I840766/d07-x01-y02 //home/truhlar/Desktop/HEPData_workshop/Rivet/RIVETAnalyses/STAR_2010_I840766/Rivet.yoda/STAR_2010_I840766:beam=pp:cent=GEN/d07-x01-y02
LegendOnly=/STAR_2010_I840766/d07-x01-y02 //home/truhlar/Desktop/HEPData_workshop/Rivet/RIVETAnalyses/STAR_2010_I840766/Rivet.yoda/STAR_2010_I840766:beam=pp:cent=GEN/d07-x01-y02
RatioPlot=1
RatioPlotReference=/STAR_2010_I840766/d07-x01-y02
# END PLOT

# BEGIN HISTO1D /STAR_2010_I840766/d07-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/STAR_2010_I840766/d07-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.500000e+00	1.032000e+00	9.500000e-02	9.500000e-02
1.500000e+00	2.000000e+00	1.179000e+00	1.130000e-01	1.130000e-01
2.000000e+00	2.500000e+00	1.268000e+00	1.670000e-01	1.670000e-01
2.500000e+00	3.000000e+00	1.061000e+00	2.330000e-01	2.330000e-01
3.000000e+00	4.000000e+00	1.198000e+00	4.780000e-01	4.780000e-01
4.000000e+00	5.000000e+00	1.425000e+00	2.425387e-01	2.425387e-01
5.000000e+00	6.000000e+00	1.149000e+00	1.587514e-01	1.587514e-01
6.000000e+00	7.000000e+00	8.600000e-01	1.659518e-01	1.659518e-01
7.000000e+00	8.000000e+00	1.129000e+00	1.336001e-01	1.336001e-01
8.000000e+00	1.000000e+01	8.880000e-01	1.042017e-01	1.042017e-01
1.000000e+01	1.200000e+01	9.750000e-01	1.651091e-01	1.651091e-01
1.200000e+01	1.400000e+01	8.500000e-01	2.222521e-01	2.222521e-01
1.400000e+01	1.700000e+01	1.040000e+00	3.499143e-01	3.499143e-01
# END HISTO1D


# BEGIN HISTO1D //home/truhlar/Desktop/HEPData_workshop/Rivet/RIVETAnalyses/STAR_2010_I840766/Rivet.yoda/STAR_2010_I840766:beam=pp:cent=GEN/d07-x01-y02
LineColor=red
LineStyle=solid
Path=//home/truhlar/Desktop/HEPData_workshop/Rivet/RIVETAnalyses/STAR_2010_I840766/Rivet.yoda/STAR_2010_I840766:beam=pp:cent=GEN/d07-x01-y02
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+01	1.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

